item,value
3Q25 actual margin,50.09
'down slightly' target used (3Q25 - 0.5pt),49.59
evidence-only build: 3Q26 margin,52.39349865062303
evidence-only build: 3Q26 total cash cost growth y/y %,11.427677244420886
reconciled base: 3Q26 margin at the GUIDE midpoint revenue (by construction = target),49.59
"reconciled base: 3Q26 margin at OUR revenue ($4,804M; the forecast)",50.366873850120385
reconciled base: 3Q26 total cash cost growth y/y %,16.12877694832968
"reconciled base: cost gap assigned in 3Q26, USD m",97.35977486795127
2H26 marketing growth % that lands the sentence AT OUR revenue with no hosting step (evidence build),60.62849897965715
"3Q26 S&M at that growth, USD m",844.8450408261142
3Q26 S&M y/y % at that growth,44.41795569677165
3Q26 total cash cost growth y/y % at that growth,17.930867510859816
FY26 margin at that growth,34.66903304004592
