KPI,"VIC (Feb 18 2026, right fiscal year)",Our number,Latest actual,Next print / tracker
Bridal revenue y/y,−12.7% (FY27E) → −9.2% (FY28E),"flat to +LSD (units −LSD/MSD, AUR +HSD)","Q1 FY27: bridal $ +0.4%, AUR +HSD",Sept 9 (Q2 colour) · Dec 1–2 · Mar-27
LGD unit price (1ct-equivalent),−8.4% FY27 → −10.0% FY28,≥ flat (Tenoris spend/unit flat ~18 months),Tenoris Jul-26: flat,Tenoris monthly · Golan Q3 list (Oct)
LGD carat per ring,flat at 2.26 from FY26,still rising (market 1.9ct; 3ct 'the standard'),"2.14 (FY25, VIC's own base)",Knot Feb-27 · BriteCo
Natural bridal units,−26.2% FY27 → −30.0% FY28,"−LSD/MSD (guide, total bridal)",FY27 guide: bridal units down LSD–MSD,every print · Tenoris natural units
LGD share of bridal $,50.6% FY27 → 65.5% FY28,"~40% → 'under 50%', converging slowly",'under 50%' (holiday FY26),10-K LGD % (Mar-27) · call colour
Total revenue,"$6,555M (−4.4%) FY27",$6.7–6.9B (guide),"FY26 $6,814M; Q1 FY27 comp +1.8%",Sept 9 guide · Mar-27
Gross margin,40.1% FY27 (−60 bps),"merch margin down H1, flat-to-up H2",Q1 FY27 merch margin −70 bps (gold),"Sept 9 (Q2, calibration) · Dec 1–2 (test)"
SG&A % of sales,32.6% (+100 bps deleverage),leverage at guide midpoint,"Q1 FY27 SG&A −3% y/y, 32.8% of sales",every print
Adjusted operating income,$494M FY27,$480–560M (guide),FY26 $515M; Q1 FY27 $78.6M (above the high end),Sept 9 raise? · Mar-27
Adjusted EPS FY27,$9.08 (below the $9.20 guide floor),~$10.4 (consensus $10.65–10.92; UBS $10.90),FY26 $9.60; Q1 FY27 $1.56,Mar-27
Adjusted EPS FY28,$7.85 (→ '$5 by FY30'),"~$10.95 (organic +2%, shares −6%)",—,"initial FY28 guide, Mar-27"
Diluted shares,"42M, static","~37M base case (−6%); ~35M if the $355M authorization is fully used (guide: 39.5M, no buyback)",40.0M basic (Q1 FY27),each 10-Q cover page
Services revenue,+2.4%/yr (conceded by the bear),"+MSD; ESP plans sold +10.1% FY26, +2.9% Q1 FY27",Q1 FY27 services +5.2%,10-Q Note 3 each quarter
'Earnings begin declining',within 12–24 months of Feb-26 (by Feb-28),FY28 guide up y/y,two beat-and-raises since the post,Mar-27 initial FY28 guide
