case,p_yes,p_upgrades_leg,p_target_leg
base,0.384,0.22,0.259
pre-print mean 0.3 (2023-25 rate),0.335,0.152,0.259
pre-print mean 1.2 (2026 rate),0.458,0.318,0.259
post-print means halved,0.343,0.141,0.259
post-print means x1.5,0.424,0.291,0.259
P(accel) 0.40 (Street-like),0.464,0.271,0.331
P(accel) 0.13,0.329,0.185,0.21
target leg by branch -30%,0.336,0.22,0.187
target leg by branch +30%,0.434,0.22,0.331
no path premium,0.369,0.22,0.239
path premium 0.05,0.408,0.22,0.289
Poisson (no overdispersion),0.368,0.207,0.259
overdispersion 2.5,0.392,0.223,0.26
legs independent (rho 0),0.397,0.22,0.259
legs tightly linked (rho 0.9),0.373,0.22,0.259
"joint bull: accel 0.40, post x1.5, pre 1.2, pT +30%",0.616,0.451,0.425
"joint bear: accel 0.13, post halved, pre 0.3, pT -30%",0.197,0.063,0.153
