business,case,fy25_rev_musd,fy26_rev_musd,fy27_rev_musd,fy28_rev_musd,fy28_incremental_vs_platform_growth_musd,assumptions
hotels,bear,290.0,348.0,400.0,448.0,91.0,FY25: hotels 'single-digit % of nights' (Q4'25 call) -> assume 3.5% of 533m nights = 18.7m nights x ~$140 hotel ADR x ~11% commission (undisclosed; 'best-in-class' per Q3'25 call) = ~$290m. Growth: Q2'26 hotel nights ~3x homes (~30%); base fades 35/30/25%; bull holds 3-5x; bear reverts to 2x platform after the 15% credit expires 31 Dec 2026. Jefferies: hotels ~$1bn by 2030 (https://finance.yahoo.com/markets/stocks/articles/airbnb-hotels-experiences-push-could-add-153900298.html)
hotels,base,290.0,392.0,509.0,636.0,257.0,FY25: hotels 'single-digit % of nights' (Q4'25 call) -> assume 3.5% of 533m nights = 18.7m nights x ~$140 hotel ADR x ~11% commission (undisclosed; 'best-in-class' per Q3'25 call) = ~$290m. Growth: Q2'26 hotel nights ~3x homes (~30%); base fades 35/30/25%; bull holds 3-5x; bear reverts to 2x platform after the 15% credit expires 31 Dec 2026. Jefferies: hotels ~$1bn by 2030 (https://finance.yahoo.com/markets/stocks/articles/airbnb-hotels-experiences-push-could-add-153900298.html)
hotels,bull,290.0,464.0,696.0,974.0,587.0,FY25: hotels 'single-digit % of nights' (Q4'25 call) -> assume 3.5% of 533m nights = 18.7m nights x ~$140 hotel ADR x ~11% commission (undisclosed; 'best-in-class' per Q3'25 call) = ~$290m. Growth: Q2'26 hotel nights ~3x homes (~30%); base fades 35/30/25%; bull holds 3-5x; bear reverts to 2x platform after the 15% credit expires 31 Dec 2026. Jefferies: hotels ~$1bn by 2030 (https://finance.yahoo.com/markets/stocks/articles/airbnb-hotels-experiences-push-could-add-153900298.html)
experiences,bear,90.0,112.0,135.0,155.0,45.0,"FY25: ~40,000 experiences, GBV assumed ~$450m x 20% take (Airbnb help centre: 20% on experiences) = ~$90m. Q2'26: supply +80% y/y, bookings accelerating on a small base; 'thousands of markets ... not this year' (Q2'26 call). Almost half of bookings not attached to a stay (3Q25/4Q25 letters)"
experiences,base,90.0,135.0,196.0,274.0,156.0,"FY25: ~40,000 experiences, GBV assumed ~$450m x 20% take (Airbnb help centre: 20% on experiences) = ~$90m. Q2'26: supply +80% y/y, bookings accelerating on a small base; 'thousands of markets ... not this year' (Q2'26 call). Almost half of bookings not attached to a stay (3Q25/4Q25 letters)"
experiences,bull,90.0,162.0,275.0,441.0,320.0,"FY25: ~40,000 experiences, GBV assumed ~$450m x 20% take (Airbnb help centre: 20% on experiences) = ~$90m. Q2'26: supply +80% y/y, bookings accelerating on a small base; 'thousands of markets ... not this year' (Q2'26 call). Almost half of bookings not attached to a stay (3Q25/4Q25 letters)"
services,bear,12.0,24.0,38.0,54.0,39.0,"FY25: 10 categories in 260 cities from May 2025 at a 15% host fee ($6 minimum); assume ~$80m GBV = ~$12m revenue. 2026 partner services (car rental, airport pickup, luggage, grocery) are referral economics, 'do not think they'll incur a lot of costs' (Q2'26 call). Management: 3-5 years to materiality"
services,base,12.0,42.0,92.0,166.0,151.0,"FY25: 10 categories in 260 cities from May 2025 at a 15% host fee ($6 minimum); assume ~$80m GBV = ~$12m revenue. 2026 partner services (car rental, airport pickup, luggage, grocery) are referral economics, 'do not think they'll incur a lot of costs' (Q2'26 call). Management: 3-5 years to materiality"
services,bull,12.0,60.0,180.0,396.0,380.0,"FY25: 10 categories in 260 cities from May 2025 at a 15% host fee ($6 minimum); assume ~$80m GBV = ~$12m revenue. 2026 partner services (car rental, airport pickup, luggage, grocery) are referral economics, 'do not think they'll incur a lot of costs' (Q2'26 call). Management: 3-5 years to materiality"
sponsored_listings_ads,bear,0.0,0.0,0.0,60.0,60.0,"Not launched; Wedbush (Aug 2026) expects sponsored listings in 2027 (pitch catalogue); Skift 2023 sized an ad platform at $1.2bn by 2026 (did not happen). Vrbo and Booking already sell placement; T5: paid placement and rebates already exist on the host side. Base: 2027 launch, 0.3% of GBV by FY28"
