item_id,item,quarter,unit,source,value,lo,hi,scoring_rule,baseline,owner,decision_required,recommended_default
INT-01,3Q26 revenue,2026Q3,musd,live-block-v2 (guide midpoint x trailing-8 mean cushion 1.8567%); B1,4816.1,4754.6,4877.6,SUPPORT if the print is inside the 80% band AND closer to 4816.1 than to the print-day consensus; REFUTE if outside the band. Absolute error recorded against every baseline.,"print-day consensus re-pulled 2-3 Nov (11 Sep vintage: LSEG-family 4737.5 n=36, Zacks 4740 n=7, Yahoo 4740 n=35, S&P 4740 n=35); guide midpoint 4730; harness naive_seasonal. Scoreboard winner for a guided quarter is baselines|guide_cushion, RMSE ratio 0.377 W1 / 0.319 W2, survives both.",P1 / Theo,TRUE,"D-01: use guide+cushion 4816.1, NOT the kernel's 4804.0. Publish both: the hinge is 0.53 under 4816.1 and 0.49 under 4804.0."
INT-02,"3Q26 nights and seats, y/y",2026Q3,pct,q3nowcast E reviews stays index (Krish),9.5,8.5,11.0,"SUPPORT if inside the band AND the index error is below the naive error; REFUTE if outside. Drag overlay (D sec5 row 1): <=8.5 supports, >=10.3 weakens, 8.6-10.2 inconclusive. Implied level 146.3 M on the 133.6 M 3Q25 base.","naive last quarter +10.34; team baseline +9.9; prior year +8.8; external stack +9.2. Index walk-forward RMSE 1.48 pp vs naive 2.16 = ratio 0.68, n=10, jackknife 0.63-0.86, perm p 0.001, Eurostat cross-check 0.59. NO STREET BASELINE EXISTS: no nights/ADR/GBV consensus at any vendor; the '+10.2% consensus' in circulation is our own WS20 card.",Krish,TRUE,"D-02: index +9.5 with the index band 8.5-11.0. Do NOT use live-block-v2's +10.31 (mix_nights_m loses to seasonal naive on both windows, 1.549/1.105) and do NOT mix the team-baseline point with the index band."
INT-03,"3Q26 ADR, level",2026Q3,usd,adrq3 ADR card v2 (Krish),176.47,174.20,178.75,"SUPPORT if inside the band AND the card-v2 error is below the naive error; REFUTE if outside. y/y equivalent +3.03% (band +1.70 to +4.35). A hit is corroboration, not vindication: the card's own pre-registered test already failed.","naive 'ex-FX ADR same as last disclosed quarter (+4.0)', RMSE 0.908 pp on n=10. Card v2 scores 0.903 = ratio 0.994 (1Q24-2Q26) and 1.042 (2Q24-2Q26), jackknife 0.87-1.05 with 5 of 10 below 1. THRESHOLD WAS 'ratio strictly below 1.0' -> NOT PASSED; a tie is not a pass. It does beat AR(1) 0.79 and the old H build 0.70 (H itself is 1.58).",Krish,TRUE,"D-03: quote card v2 with the FAIL stated in the same sentence. Do NOT use live-block-v2's +5.17% ADR: it is the definitional residual where the published block's 0.22 pp identity break was charged, and has no registered baseline. Resolve the PASS/FAIL contradiction inside research/notes/adrq3/ (I says PASS twice; J and the synthesis say FAIL)."
INT-04,"3Q26 ADR ex-FX, y/y",2026Q3,pct,adrq3 ADR card v2 (Krish),3.46,2.13,4.78,"SUPPORT if the letter's stated ex-FX ADR rounds to +3 or +4; REFUTE if <=+2 or >=+5. Score against +3.5. Record the implied pricing residual: if it lands at the mean-reversion case the persistence rule is RETIRED, not re-fitted.","persistence residual +4.61 (mean of 1Q26 4.38 and 2Q26 4.85); mean-reversion case +2.40; trailing-8 3.09. Mix terms measured: party size +0.80, LOS +0.06, geo -1.43, sum -0.57; new business -0.48, interaction -0.10. At the mean-reversion residual reported ADR is about +0.8% not +3.0% - roughly $2.2bn of annualised GBV.",Krish,FALSE,
INT-05,3Q26 GBV,2026Q3,musd,live-block-v2 / guidance-policy-v2 (one GBV across B1 and B2),26549.8,25456.3,27643.2,"SUPPORT if inside the q10-q90 band. RECORD BOTH BLOCKS BEFORE READING THE TAKE RATE OFF EITHER. Taking the per-object backtest winners BREAKS ABNB's own ADR identity by -3.13pp: reviews nights 146.292 M x ADR card v2 $176.47 = 25816 musd (+12.73%) against the registered 26549.8 (+15.94%), i.e. (1+n_yoy)(1+adr_yoy)-1 = +12.81%. That is 14x the 0.22pp break B1 was written to close. The three CONSISTENT blocks: (i) 146.3 / 176.47 / 25816 -> take rate 18.655%, P 0.88; (ii) 147.38 / 180.15 / 26549.8 -> 18.140%, P 0.53; (iii) 146.3 / 181.48 PLUG / 26549.8 -> 18.140%, P 0.53. (iii) is REJECTED: it prints an ADR 2.9pp above our own ADR card and calls it a forecast.","seasonal naive, which mix_gbv_musd LOSES to on both windows (1.312 W1 / 1.021 W2); management's 'mid teens' bucket = 14-16%; frozen WS20 card 26185. Walk-forward bias +1.77% (t 1.56), not applied.",P1 / Theo,TRUE,"D-04: pre-register BLOCK (ii) as the headline, publish BLOCK (i) beside it, reject (iii). (ii) is headline because its dependence was DERIVED (rho 0.7595 on 14 walk-forward quarters) rather than asserted, and because it is what the programme registered. (i) is published because its two legs are the only objects on this card with a measured standing against naive, and burying it would hide that the skilful objects disagree with the registered one - but its GBV is a derived residual with no GBV object behind it and at +12.7% it sits BELOW management's own 'mid teens' guide, set 6 Aug with July bookings in hand, at a company that has beaten its guide 19 of 19. The gap is $734M / 2.8% and it moves the hinge from P=0.53 to P=0.88 - the single largest unresolved number on the card."
INT-06,3Q26 printed take rate,2026Q3,pct,live-block-v2 identity output (B1): 100 x revenue / same-quarter GBV,18.1399,17.5731,18.7557,"Computed as 100 x revenue / same-quarter GBV, never quoted from a model. SUPPORT for the fee thesis if >= 18.10. The card commits to the PAIR: at the registered revenue the flip GBV is 26608.3 musd; at the registered GBV the flip revenue is 4805.5 musd - above the top of management's own guide range of 4770.","3Q25 printed 17.882. fee-takerate|take_rate_lastyear still LOSES to a plain seasonal naive (1.003 W1 / 1.055 W2); 0 of 8 take-rate rows beat it. take_rate_pct has no registered baseline, so survives_both=False is vacuous, not a defeat. lambda_Q3 17.24% is NOT a take rate below 18.10: it is revenue over LAGGED GBV and converts to 18.09%.",P3/R,TRUE,D-01/D-04: 18.14% on the reconciled block. The four sources span 17.88% to 18.69%; the revenue-object choice alone moves it across the line.
INT-07,P(3Q26 printed take rate >= 18.10%),2026Q3,prob,"B1 joint draw, 500000 draws, seed 20260911, rho(rev,GBV)=0.7595 W1/PIT n=14",0.53,0.53,0.54,"Scored as a PROBABILITY - log score and Brier against the realised 0/1 - alongside the same at every rival GBV view. P at each view, take-rate sd = 0.4628 x (26549.8/GBV): frozen card 26185x4801 -> 18.335%, 0.69; v2 26549.8x4816.1 -> 18.140%, 0.53; v2 GBV x kernel 4804 -> 18.094%, 0.49; Krish 25905.8x4800 -> 18.529%, 0.82; Krish 25905.8x4632 (note-consistent) -> 17.880%, 0.32; Theo 25764.6x4816.1 -> 18.693%, 0.89; recommended reviews/ADRv2 block 25816.1x4816.1 -> 18.655%, 0.88.","a coin (0.50). The three superseded figures 0.254 / unstated / 0.775 are retired. P is stable 0.53-0.54 under every estimable dependence assumption, but the POINT is a near-linear function of GBV and the GBV is contested.",P3/R,FALSE,"The 0.32 row is NOT a forecast and must not be scored: Krish's $4,632M is GBV x an assumed flat 17.88% take rate, so reading a take rate back out is circular."
INT-08,"3Q26 stated revenue FX, letter-rounded",2026Q3,pp,"fx-lag-v2 / B4, lag-loaded Phi kernel x 0.851",3,0.3,3.5,"B4 decision rule, verbatim: a printed 3Q26 revenue-FX of +3 or more supports the lag-loaded kernel and closes the argument in the architect's favour; 0 or +1 supports the free fit and means the +1.2pp the programme registered was right and management's guide was conservative; +2 is the ambiguous middle and is reported as ambiguous. No row is revised after 5 Nov to fit the print.","free fit stated (the registered row) +1.3 -> +1; Phi x 0.653 +2.2 -> +2; contemporaneous x 0.56 +0.3 -> 0; overnight2 WS05 28-Aug vintage +1.98 after hedge -> +2; management guided ~+3.0 after hedge. Full-sample LR rejects Phi (10.2, p 0.017 stated; 16.8, p 0.0008 gross); the live evidence for Phi is n=3. No FX object survives either window: fx_pts_revenue has no harness naive, so every ratio is NaN.",P3/R,TRUE,"D-05: predict +3 from the lag-loaded spec, publish the free fit's +1 beside it. For 'what management will state' the lag-loaded spec is right regardless: at a guide date only 32-38% of the guided quarter's FX has printed, and H2 is the best point-in-time forecaster (RMSE 0.99pp vs 1.59-1.88)."
INT-09,3Q26 GBV growth minus nights growth,2026Q3,pts,overnight2 D sec5 row 2 (Krish),5.6,3.6,6.4,"D sec5 row 2: gap above 7 pts with nights <=9% supports the drag; below 4.5 pts with nights >=10% weakens it; 4.5-7.0 inconclusive. lo/hi here are OUR OWN block spread, NOT the D bands: +5.6 pts on registered block (ii) (15.94-10.31), +3.6 pts on backtest-winner block (i) (12.73-9.5), and +6.4 pts if the card's default GBV is paired with its default nights - which is the INT-05 identity break showing up on this line too.",2Q26 gap 5.4 pts; 1Q26 10.0; 3Q25 5.1; the 3Q26 guide implies about 4-5.,Krish,FALSE,
INT-10,Reviews-index slope check on the 3Q26 print,2026Q3,ratio,q3nowcast E (Krish),0.68,8.6,11.5,"SUPPORT if the printed nights y/y lands inside the index's own headline band 8.6-11.5. REFUTE if adding 3Q26 to the walk-forward pushes the RMSE ratio above 0.80 - the level at which the index becomes what note 08 found for every other composite. Re-run and record the new ratio the same day, whichever way it goes.",current walk-forward ratio 0.68 on n=10; naive RMSE 2.16 pp; family 0.65-0.75.,Krish,FALSE,
