theme,regex
demand_macro,\b(macro\w*|softness|softer|soften\w*|slow(?:ing|down|er)?|decelerat\w*|moderat\w*|weak\w*|headwinds?|uncertaint\w*|recession\w*|consumer (?:demand|confidence|spending)|tariffs?|inflation\w*|lead times?|booking window|shorter (?:booking|lead)|demand (?:environment|trends?|signals?|is|has|was|remains)|cancellation\w*)\b
pricing_adr,\b(adrs?|average daily rates?|affordab\w*|total price|price (?:display|transparency|tool\w*|competitiv\w*)|cleaning fees?|discount\w*|pricing|prices?|priced|cheaper|value for money|smart pricing)\b
take_rate_fees,\b(take[- ]rates?|service fees?|host[- ]only fee|guest fees?|host fees?|monetiz\w*|fee structure|single fee|cross[- ]currency fee|fx fee|unearned fees?)\b
marketing,\b(marketing|brand campaign\w*|brand (?:spend|awareness|investment)|performance marketing|advertis\w*|paid search|\bsem\b|search engine marketing|s&m|sales and marketing|sales & marketing)\b
margins_profitability,\b(margins?|ebitda|profitab\w*|profits?|operating leverage|free cash flow|fcf|net income|cost (?:structure|discipline|base)|efficien\w*|leverage in the (?:model|business))\b
supply_hosts,\b(supply|hosts?|hosting|listings?|superhost\w*|active listings?|co-host\w*|quality (?:listings?|supply|system)|guest favorites?|removed (?:listings?|supply))\b
regulation,\b(regulat\w*|regulators?|new york|nyc|local law|legislat\w*|ordinances?|registration|barcelona|bans?|banned|short[- ]term rental (?:rules|laws?|restrictions?)|policymakers?|lawmakers?|city (?:officials|governments?)|taxes|tax (?:rate|law))\b
ai,\b(\bai\b|artificial intelligence|generative|llms?|agentic|machine learning|chatgpt|openai|large language|ai[- ]native|ai (?:agents?|search|models?|spend|investment|infrastructure|compute)|copilot|gpt|gameplanner)\b
new_businesses,\b((?<!customer )(?<!guest )(?<!community )(?<!host )(?<!hosts and )(?<!financial )(?<!our )services|(?<!nights and )(?<!guest )experiences|icons|beyond (?:the core|stays|homes|travel)|new businesses|new business lines?|new (?:products?|offerings?|verticals?)|summer release|winter release|rooms|hotels?|hoteltonight|extend(?:ing)? the brand|the airbnb trip|one[- ]stop)\b
international,\b(international\w*|expansion markets?|global markets?|cross[- ]border|japan|brazil|germany|korea|latin america|latam|asia|apac|europe|emea|india|china|mexico|spain|italy|france|australia|switzerland|netherlands|belgium|argentina|less mature markets?|core markets?|under[- ]penetrated)\b
buybacks_sbc,\b(buybacks?|repurchases?|repurchased|capital return|return(?:ing)? capital|capital allocation|dividends?|share count|dilution|stock[- ]based comp\w*|sbc|m&a|acquisitions?|balance sheet|cash balance|convertible|net cash)\b
competition,\b(competit\w*|booking\.com|booking holdings|expedia|vrbo|hotels? (?:industry|chains?|are)|marriott|hilton|hyatt|otas?|online travel agenc\w*|google|share (?:gains?|of travel|of wallet)|market share|disintermediat\w*)\b
long_term_targets,\b(long[- ]term (?:margin|target|model|algorithm|growth|goal|framework|financial)|multi[- ]year|over the next (?:few|several|three|five) years|by 20(?:2[7-9]|30)|(?:2027|2028|2029|2030)|billions? of dollars? (?:of )?(?:incremental|opportunity|business)|north star|ambition|full[- ]year (?:20\d\d )?(?:margin|revenue|growth|outlook|guidance)|at least (?:mid|low|high)[- ]teens|(?:low|mid|high)[- ](?:single|double)[- ]digits?|(?:low|mid|high)[- ]teens|full year)\b
_sentiment,"Loughran-McDonald Positive/Negative word lists (pysentiment2 static/LM.csv), negation within 3 words flips positive to negative"
_hedging,"LM Uncertainty + LM weak-modal words + caution, cautious, cautiously, choppiness, choppy, hard to say, moderate, moderating, moderation, prudent, softening, softer, softness, too early, uncertain, uncertainty, unclear, uneven, variability, volatile, volatility, wait and see"
_forward_verbs,\b(will|we'll|we will|expect\w*|anticipat\w*|going to|plan(?:s|ned|ning)? to|intend\w*|aim(?:s|ing)? to|target(?:s|ing)?|forecast\w*|project(?:s|ing|ed)? (?:to|that)|on track|outlook|guid(?:e|ance|ed|ing)|look(?:ing)? (?:ahead|forward)|over the coming|in the (?:coming|next) (?:quarter|year|months|quarters|years)|next (?:quarter|year)|second half|back half|for the (?:full )?year|by year[- ]end|throughout 20\d\d|in 20\d\d)\b
_guide_decline,\b(?:not (?:going to|gonna) (?:give|provide|guide|quantify|size|share|disclose|break out)|(?:don't|do not|won't|will not) (?:guide|provide guidance|quantify|size|disclose|break out|give (?:a|specific|exact) (?:number|guide|target)|have a (?:specific|new) (?:number|target))|haven't (?:guided|quantified|sized|disclosed)|no (?:new )?(?:long-term )?(?:target|guidance)|not (?:providing|giving|disclosing|quantifying|sizing) (?:a |any |specific |the )?(?:number|guide|guidance|target|detail|breakout|breakdown)|too early to (?:say|tell|quantify|size|call)|not something we(?:'re| are) going to (?:disclose|share|quantify|size|break out))\b
_analyst_neg_kw,\b(concern\w*|worr\w*|slow\w*|decelerat\w*|soft\w*|weak\w*|pressure\w*|risks?|headwinds?|disappoint\w*|miss\w*|below|lower than|light|cautio\w*|push ?back|skeptic\w*|why (?:not|isn't|hasn't|can't|didn't)|what went wrong|competit\w*|deteriorat\w*|declin\w*|cut\w*)\b
