item,value,unit,note
"Street Q3-2026 revenue consensus (Zacks, 4-Sep-26)",4740.0,musd,"7 estimates, high 4,770 low 4,720; equals +15.79% y/y"
Company Q3-2026 revenue guide midpoint,4730.0,musd,"range 4,690-4,770 given 6-Aug-26"
Guide midpoint minus consensus,-10.0,musd,"= -0.21%; the Street sits essentially ON the guide midpoint, unlike 6-Aug when the guide was 2.6% above"
Revenue needed to beat consensus,4740.0,musd,"any print > $4,740m is a consensus beat; that is +0.21%% over the guide midpoint and 0.63%% below the guide high"
Median historical revenue beat vs consensus (all 23),2.21,pct,implies a Q3-26 print of $4845m
Median historical revenue beat vs consensus (14 post-2022),1.7,pct,implies a Q3-26 print of $4821m
Median historical revenue beat vs guide midpoint (all),2.5,pct,implies a Q3-26 print of $4848m
Median historical revenue beat vs guide midpoint (post-2022),2.15,pct,implies a Q3-26 print of $4832m
Share of prints beating revenue consensus (all 23),0.957,frac,only 2022Q2 missed (-0.28%)
Share of prints beating revenue consensus (post-2022),1.0,frac,
Street Q3-2026 adjusted EPS consensus (Zacks),2.87,usd,"11 estimates, high 3.28 low 2.52, Most Accurate 2.88, Earnings ESP +0.45%"
Street Q3-2026 adj EBITDA consensus,,musd,"NOT PUBLISHED anywhere retrievable. Company FY26 guide is >=35.5% adj EBITDA margin; applying 35.5% to the $4,740m revenue consensus gives ~$1,683m, and applying last year's Q3 margin (50.1%) gives ~$2,375m. Q3-2025 actual was $2,051m on 50.1% margin. A margin-neutral Q3-26 would be ~$2,374m; use $2.3-2.4bn as the working Street bar and flag it as derived, not sourced."
Street Q3-2026 nights consensus,,m,"NOT PUBLISHED. StreetAccount nights consensus has run 0.3-3.7% below the actual at each of the last 8 prints; the median gap is +1.2%. Q3-2025 actual 133.6m; +9-10% y/y implies ~146-147m, so the implied Street bar is ~144-146m."
Q4-2026 revenue consensus (Zacks),3200.0,musd,"10 estimates, high 3,700 low 3,050 - a 21% high-low spread, by far the widest in the table, i.e. the Street has not converged on the post-hotel-mix Q4 seasonal"
FY2026 revenue consensus,14100.0,musd,"Zacks (8 est). S&P Global via stockanalysis: 14,160 (43 analysts)"
FY2027 revenue consensus,15730.0,musd,"Zacks (13 est). S&P Global: 15,760"
FY2026 adj EPS consensus,5.23,usd,Zacks (13 est). S&P Global: 5.28
FY2027 adj EPS consensus,6.02,usd,Zacks (13 est). S&P Global: 6.14
