quarter,qa_marker_found,prepared_chars,stem_hits_prepared,hits
1Q22,1,9358,0,
1Q23,0,66262,6,"Nights and experiences booked increased 19% in Q1 compared to a year ago, and we've seen our highest number of active bookers ever, despite continued macroeconomic uncertainties.; In the current macroeconomic environment, people want to travel affordably.; We've only grown it moderately since.; Even this year, as we anticipate moderation in ADRs, the improvements that we're gonna continue to make in community support, infrastructure, cost of payments, and our fixed cost leverage will be enough to offset any of ; My hope is that while the hotel CEOs have said they expect demand to drive prices up this summer, we want to actually have prices moderate.; I don't have any more to say on that except that we think that the ADRs, as we continue to see growth in Europe, Latin America, and Asia, should moderate a bit here in the Q2."
1Q24,1,9787,0,
1Q25,1,11358,4,"growth softened amid macro uncertainty.; For nights and experiences booked, we expect year-over-year growth in Q2 to moderate relative to Q1.; In the U.S., we've seen relatively softer trends, which we believe is largely driven by broader economic uncertainty.; Now, to wrap up before we go to questions, we're staying close to geopolitical and macroeconomic uncertainty and monitoring any short-term impact they could have."
1Q26,1,17627,5,"We're seeing longer lead times, as well as a mix shift towards larger, higher-priced homes.; We saw a slight deceleration in March, largely due to conflict-related cancellations across EMEA and APAC.; In addition to driving longer booking lead times and contributing to the increase in ADR, Reserve Now, Pay Later is driving a meaningful lift to all booking metrics, net of cancellation.; We expect GBV to increase in the low double digits year-over-year, driven by growth in nights and seats booked and a moderate increase in ADR.; In Q2, we expect year-over-year growth in nights and seats booked to decelerate slightly relative to the 9% growth we saw in Q1."
2Q22,1,9447,1,"Now, given this earlier booking, growth rates compared to last year decelerated in May and June."
2Q23,1,10352,0,
2Q24,1,10607,4,"Shorter booking lead times and U.S.; demand softness inform a cautious Q3 outlook, while investments in international growth and new offerings continue.; However, we are seeing shorter booking lead times globally and some signs of slowing demand from U.S.; We believe this growth strategy will, over the long term, offset any transitory macro trends."
2Q25,1,11290,1,"That said, we do expect year-over-year comparisons to get tougher toward the end of the quarter and that this dynamic will continue into Q4, putting pressure on growth rates later in the year."
2Q26,1,18749,2,"It drove more bookings, longer booking lead times, and contributed to the increase in ADR.; We expect year-over-year GBV growth to be in the mid-teens, driven by low double-digit growth in nights and seats booked and a moderate increase in ADR due to mix shift and price appreciation."
3Q22,1,7125,2,"Even with the macroeconomic uncertainties, we believe that we're well-positioned for the road ahead.; During the quarter, we also continued to see longer lead times, supporting a stronger backlog for Q4."
3Q23,1,8169,0,
3Q24,1,10677,3,"Despite a slower start to the quarter due to shorter booking lead times compared to last year, bookings grew steadily each month and returned to double-digit growth by the end of Q3.; Global lead times also normalized throughout the quarter.; Now, turning to Q4, last quarter, we talked about shorter booking lead times."
3Q25,1,16638,0,
4Q22,1,9662,1,"We had our highest number of active bookers ever in Q4, demonstrating guests' excitement to travel on Airbnb despite evolving macroeconomic uncertainties."
4Q23,1,11685,0,
4Q24,1,10414,0,
4Q25,1,19909,5,"Travel is influenced by everything from currency to macroeconomic conditions to global events.; As the quarter played out, we saw a slightly better macroeconomic environment than anticipated.; It's also led to longer booking lead times and a mix shift towards larger entire homes, especially those with four more bedrooms, contributing to the increase in ADR.; We expect gross booking value to increase in the low teens year-over-year, driven by high single-digit growth in nights and fees booked, and a moderate increase in ADR due to price appreciation and FX.; Overall, we believe continued progress against our product optimization, pilots, and new offerings, together with broader macro conditions, will support incremental growth in 2026."
