concept,formula_or_definition,units,limit,eligibility,source
reported_currency_contribution,C_bc=lambda*a_b*GBV_reported_b*s_bc,USD,Assumed reported-dollar currency shares; USD GBV already embeds booking FX,conditional,bundle/research_notes/L3_COHORT_FX_ACCOUNTING.md; bundle/payload/cohort_fx/metadata.json; L4_INTEGRATION_PREREG_v2.md; qvs/QVS_VARIANCE_AND_PRESENTATION_ARGUMENTS_v1.md
reference_currency_GBV,GBV0_bc=GBV_reported_b*s_bc/(e_booking_bc/e0_c),USD at fixed 2025 daily-average reference,Not observed company constant-currency GBV; s and booking fixing convention assumed,conditional,bundle/research_notes/L3_COHORT_FX_ACCOUNTING.md; bundle/payload/cohort_fx/metadata.json; L4_INTEGRATION_PREREG_v2.md; qvs/QVS_VARIANCE_AND_PRESENTATION_ARGUMENTS_v1.md
reference_revenue,C0_bc=C_bc/f_booking_bc; R0=sum_bc C0_bc,USD at fixed reference,"Lambda inherits reported revenue, including unidentified hedge effects",not_certified_prehedge,bundle/research_notes/L3_COHORT_FX_ACCOUNTING.md; bundle/payload/cohort_fx/metadata.json; L4_INTEGRATION_PREREG_v2.md; qvs/QVS_VARIANCE_AND_PRESENTATION_ARGUMENTS_v1.md
backward_contribution_share,w_bc=C0_bc/sum_bc C0_bc,fraction of target reference revenue,Denominator is target-quarter reference revenue across all booking/currency cohorts; not reported GBV or forward cohort total,conditional,bundle/research_notes/L3_COHORT_FX_ACCOUNTING.md; bundle/payload/cohort_fx/metadata.json; L4_INTEGRATION_PREREG_v2.md; qvs/QVS_VARIANCE_AND_PRESENTATION_ARGUMENTS_v1.md
rnpl_cohort_share,u_bc=C0_RNPL_bc/C0_bc,fraction of cohort/currency reference revenue,Surviving recognized-revenue contribution sensitivity; neither unpaid balance stock nor booked RNPL flow,unidentified,bundle/research_notes/L3_COHORT_FX_ACCOUNTING.md; bundle/payload/cohort_fx/metadata.json; L4_INTEGRATION_PREREG_v2.md; qvs/QVS_VARIANCE_AND_PRESENTATION_ARGUMENTS_v1.md
rnpl_total_share,sum_bc w_bc*u_bc,fraction of target reference revenue,Reference-dollar denominator; not empirical recognition-cohort exposure,conditional,bundle/research_notes/L3_COHORT_FX_ACCOUNTING.md; bundle/payload/cohort_fx/metadata.json; L4_INTEGRATION_PREREG_v2.md; qvs/QVS_VARIANCE_AND_PRESENTATION_ARGUMENTS_v1.md
recognition_allocation,"sum_m p_bc,m=1 within each booking/currency RNPL group",fraction conditional on cohort/currency RNPL,Recognition-month fixing is a hypothesis; prior-month row is separate payment/fixing proxy,conditional,bundle/research_notes/L3_COHORT_FX_ACCOUNTING.md; bundle/payload/cohort_fx/metadata.json; L4_INTEGRATION_PREREG_v2.md; qvs/QVS_VARIANCE_AND_PRESENTATION_ARGUMENTS_v1.md
source_denominator,B=sum_bc C0_bc*f_booking_bc,USD,Reconstructs reported-USD K0 Q3 baseline; embedded hedges unresolved,not_certified_prehedge,bundle/research_notes/L3_COHORT_FX_ACCOUNTING.md; bundle/payload/cohort_fx/metadata.json; L4_INTEGRATION_PREREG_v2.md; qvs/QVS_VARIANCE_AND_PRESENTATION_ARGUMENTS_v1.md
source_numerator,"T=sum_bc C0_bc*((1-u_bc)*f_booking_bc+u_bc*sum_m p_bc,m*f_m,c)",USD,Counterfactual fixing on unchanged survival/demand; no new hedge contribution,conditional,bundle/research_notes/L3_COHORT_FX_ACCOUNTING.md; bundle/payload/cohort_fx/metadata.json; L4_INTEGRATION_PREREG_v2.md; qvs/QVS_VARIANCE_AND_PRESENTATION_ARGUMENTS_v1.md
source_multiplier,m_source=T/B,dimensionless,Can be checked arithmetically; cannot relabel as m_pre with unresolved hedge basis,ineligible_for_current_L4,bundle/research_notes/L3_COHORT_FX_ACCOUNTING.md; bundle/payload/cohort_fx/metadata.json; L4_INTEGRATION_PREREG_v2.md; qvs/QVS_VARIANCE_AND_PRESENTATION_ARGUMENTS_v1.md
reference_level_factor,T/R0,dimensionless,Never multiply reported USD kernel by full reference factor; booking FX already included,rejected_reported_kernel_overlay,bundle/research_notes/L3_COHORT_FX_ACCOUNTING.md; bundle/payload/cohort_fx/metadata.json; L4_INTEGRATION_PREREG_v2.md; qvs/QVS_VARIANCE_AND_PRESENTATION_ARGUMENTS_v1.md
required_prehedge_multiplier,"m_pre=R_pre,new/R_pre,baseline",dimensionless,Numerator/denominator must be independently certified pre-hedge and match source cohorts/currencies,unavailable,bundle/research_notes/L3_COHORT_FX_ACCOUNTING.md; bundle/payload/cohort_fx/metadata.json; L4_INTEGRATION_PREREG_v2.md; qvs/QVS_VARIANCE_AND_PRESENTATION_ARGUMENTS_v1.md
H,Revenue cash-flow hedge reclassification embedded in R at the target quarter,USD same quarter and accounting scope as R,"Signed revenue contribution; not hedge notional, total AOCI or future-12-month disclosure",unavailable,bundle/research_notes/L3_COHORT_FX_ACCOUNTING.md; bundle/payload/cohort_fx/metadata.json; L4_INTEGRATION_PREREG_v2.md; qvs/QVS_VARIANCE_AND_PRESENTATION_ARGUMENTS_v1.md
H_new,Revenue hedge contribution under the new same-quarter scenario,USD same quarter and accounting scope as R,Must be supplied explicitly; H_new=H is a named unchanged-hedge assumption,unavailable,bundle/research_notes/L3_COHORT_FX_ACCOUNTING.md; bundle/payload/cohort_fx/metadata.json; L4_INTEGRATION_PREREG_v2.md; qvs/QVS_VARIANCE_AND_PRESENTATION_ARGUMENTS_v1.md
