quarter_hit,event,event_date,first_public_signal,metric,direction,size,foreseeable,mgmt_flagged_before_quarter_end,source
3Q21,COVID Delta variant wave,2021-07,2021-06,nights,down,nights fell q/q 83.1M -> 79.7M,partly (variant known by June; flagged in 12 Aug letter),yes,2Q21 letter outlook
4Q21,Omicron (December),2021-12,2021-11-26,"nights, cancellations",down,"""lower than Delta""; Dec gross nights still +40% y/y",no (emerged after the 4 Nov call),no,4Q21 letter
1Q22,Russia invades Ukraine; Omicron in January,2022-02-24,2022-02-24,"nights (EMEA), cancellations",down,~600k solidarity nights booked in Ukraine ($20M GBV); January an easier comp,no (invasion after the 15 Feb letter),no,"1Q22, 4Q22 letters"
3Q22,USD surge (DXY peak Sep 2022),2022-07..10,"spot, continuous",FX pts revenue/ADR,down,"-7 pts revenue, -7.1 pts ADR","yes (spot FX; ""significant headwind"" in 2Q22 letter)",yes,2Q22/3Q22 letters; panel
4Q22,USD strength persists; Q4 nights guide cut to ~20% from 25%,2022-11-01,2022-11-01,"nights guide, FX",down,-7 pts FX on revenue; stock -13.4% on 2 Nov 2022,yes for FX; the nights-guide cut was not public before the call,n/a,major-moves note
2Q23,Lapping Omicron pent-up demand of 1H22,2023-04..06,2023-05-09,nights y/y,down,nights y/y 18.6% -> 11.0% (accel -7.6),yes (pre-flagged in 1Q23 letter); stock still -10.9% on 10 May 2023,yes,1Q23 letter outlook
3Q23,NYC Local Law 18 in force (5 Sep 2023),2023-09-05,2023-01 (law dated),"supply, NA nights",down,NYC ~1% of revenue; no visible KPI break,"yes (dated law, months of notice)",yes,3Q23/4Q23 letters
3Q23,"Israel-Gaza war (7 Oct, after quarter end)",2023-10-07,2023-10-07,"cancellations, Q4 nights",down,"""greater volatility... geopolitical"" on 1 Nov call; 4Q23 nights +12% anyway",no,n/a,Theo driver_observations 2023Q3
1Q24,Easter in Q1 (31 Mar) plus Leap Day,2024-03-31,calendar,"revenue y/y, take rate",up,+1 to +2 pts revenue (Easter) plus Leap Day; reversed in 2Q24,yes (calendar; pre-announced in 4Q23 letter),yes,4Q23/1Q24 letters
2Q24,Shorter lead times and softer US demand (7 Aug 2024 call),2024-07..08,2024-08-07,"nights guide (Q3 ""moderate"")",down,stock -13.4%; nights y/y 8.7% -> 8.5% in Q3 (barely moved),no (lead time is internal data),n/a,2Q24 letter; major-moves
3Q24,Paris Summer Olympics (26 Jul-11 Aug),2024-07-26,2023-11 (backlog 2x flagged),"EMEA nights, Paris supply",up,"~700k guests over the Games; EMEA ""slight acceleration""; Paris supply +35%",yes (dated; backlog flagged in 4Q23 letter),yes,3Q24 letter
3Q24,Hurricanes Helene (26 Sep) and Milton (9 Oct),2024-09-26,2024-09-24,NA cancellations,down,not quantified; Airbnb.org disaster housing,partly (days of notice; season is dated),no,3Q24 letter
4Q24,"US election week (5 Nov) softness, then nights accelerate to +12%",2024-11-05,calendar,NA nights,mixed,4Q24 nights +12.3% vs pattern-implied ~8%: largest positive H2 deviation in the sample,partly (election dated; the strength was not foreseeable),n/a,3Q24 letter outlook; panel
1Q25,"Easter/Leap-Day lap (-3 pts revenue), FX -2, LA fires (Jan), tariff shock (2 Apr, after quarter end)",2025-01..04,calendar / 2025-04-02,"revenue y/y, NA nights",down,"revenue +6% reported, +11% ex-calendar/FX; NA nights +2%",yes for calendar and FX; no for tariffs,yes (calendar),4Q24/1Q25 letters
2Q25,"Israel-Iran strikes (13-24 Jun); ""H2 nights to moderate"" guide",2025-06-13,2025-06-13,nights guide,down,stock -8.0% on 7 Aug 2025; nights 7.4% -> 8.8% in Q3 (accelerated instead),no,n/a,major-moves; panel
3Q25,Paris Olympics lap in EMEA; RNPL launch lengthens NA lead times,2025-07..09,2025-05 (RNPL launch),"EMEA nights, lead times, unearned fees",mixed,"EMEA ""slightly unfavorable comp""; NA nights mid-single digit, accelerating",yes (lap dated; RNPL launch public),yes,3Q25 letter
4Q25,US federal shutdown (1 Oct-12 Nov 2025) and FAA flight cuts; new cancellation policies (Oct),2025-10-01,2025-09-30,"NA nights, cancellations",mixed,4Q25 nights +9.8% (accel +1.0): no visible hit,yes (deadline dated) but no KPI effect,no,4Q25 letter; panel
