print_quarter,print_date,target_period,guide_type,value_low,value_high,value_mid,direction,actual,outcome,distance_from_mid,quote,direction_family,november,excess
2Q22,2022-08-02,3Q22,ceiling,,-0.21999999999999886,,,1.3000000000000043,not_met,1.5,We expect Q3 2022 Adjusted EBITDA margin to be at or slightly below last year's all-time high margin of 49%,flat_to_down,False,1.5200000000000031
4Q22,2023-02-14,1Q23,ceiling,,0.0,,,-0.8,met,-0.8,"In Q1 2023, we expect Adjusted EBITDA margin to be slightly down on a year-over-year basis",down,False,-0.8
1Q23,2023-05-09,2Q23,ceiling,,0.0,,,-0.8,met,-0.8,"we expect Adjusted EBITDA to be similar to Adjusted EBITDA in Q2 2022 on a nominal basis, but lower on a margin basis",down,False,-0.8
1Q24,2024-05-08,2Q24,ceiling,,0.0,,,-0.5,met,-0.5,"we expect Adjusted EBITDA to be flat to up on a nominal basis, but down on an Adjusted EBITDA Margin basis, relative to Q2 2023",down,False,-0.5
2Q24,2024-08-06,3Q24,ceiling,,0.0,,,-1.5,met,-1.5,"we expect Adjusted EBITDA to approximate Q3 2023 on a nominal basis, but for Adjusted EBITDA Margin to decline relative to Q3 2023",down,False,-1.5
3Q24,2024-11-07,4Q24,ceiling,,0.0,,,-2.5,met,-2.5,Q4 2024 Adjusted EBITDA Margin is expected to decline relative to the same time period last year,down,True,-2.5
4Q24,2025-02-13,1Q25,ceiling,,0.0,,,-1.4,met,-1.4,"In Q1 2025, we expect Adjusted EBITDA and Adjusted EBITDA Margin to decline compared to Q1 2024",down,False,-1.4
1Q25,2025-05-01,2Q25,ceiling,,0.0,,,1.2,not_met,1.2,"we expect Adjusted EBITDA to increase on a year-over- year basis, but for Adjusted EBITDA Margin to be flat to down slightly compared to Q2 2024",flat_to_down,False,1.2
2Q25,2025-08-06,3Q25,ceiling,,0.0,,,-2.4,met,-2.4,we anticipate that Adjusted EBITDA Margin during Q3 2025 will be lower than in Q3 2024,down,False,-2.4
2Q25,2025-08-06,4Q25,ceiling,,0.0,,,-2.5,met,-2.5,We expect a similar year-over-year decline in Q4 2025 Adjusted EBITDA Margin due to growth investments and a tougher year-over-year top-line compariso,down,False,-2.5
