series,file,native_freq,release_lag_days,vintage_reconstructible,how,lag_applied,approximation_label
ABNB reported KPIs and revenue (8-K Ex.99.1 shareholder letter),"data/raw/letters/, data/processed/abnb_driver_history_quarterly.csv",quarterly,33-46 after quarter end (the print date),yes,the print date IS the release; no revisions to the KPIs,none needed,exact
Street revenue consensus at the print (LSEG/Refinitiv or Zacks via CNBC/Reuters),data/processed/overnight/04_consensus_sources.csv,per print,0 (quoted in the print-day article),yes for 21 of 23 prints,print-day news article carries the number as of that morning,none,2 prints rely on a Zacks estimates page retrieved 2026-09-04; those rows are supplementary and are not the primary consensus
Street nights consensus (StreetAccount via CNBC),data/processed/overnight/04_consensus_sources.csv,per print,0,yes for the 19 prints where a print-day article quotes it,print-day article,none,"4 prints have no retrievable nights consensus and are dropped, not imputed"
Revenue guide midpoint and range,data/processed/abnb_revenue_guidance_vs_actual.csv,quarterly,0 (given in the prior shareholder letter),yes,the guide is in the letter of the prior print,lag 1 print,exact
"Funds held for clients, unearned fees (XBRL 10-Q/10-K)","data/raw/xbrl/ABNB_companyfacts.json, data/processed/abnb_backlog_indicators.csv",quarterly,0-3 after the print (10-Q filed same week),partially,"EDGAR carries filing dates, but companyfacts returns the CURRENTLY reported value, so a later restatement would silently replace the originally filed figure",1 full quarter (bl_*_lag1),"APPROXIMATION: as-currently-reported values, no restatement vintage. Balance-sheet cash items of this kind are rarely restated, but this has not been verified filing by filing."
Eurostat tour_ce_omr platform nights (EU27),"data/raw/eurostat/, data/processed/eurostat_platform_nights_monthly.csv",monthly,"~90 after month end, with later revisions",no,our pull is the current vintage; Eurostat revises back series and we did not archive prior vintages,1 full quarter (eu_platform_yoy_lag1); the lag-0 variant is flagged not-available-before-print in 08_feature_tests_all.csv,APPROXIMATION: current-vintage series used as if it were the point-in-time series. The one-quarter lag is the conservative control.
Marriott / Hilton RevPAR y/y,data/processed/predictive/02_peer_prints.csv,quarterly,report dates recorded per quarter,yes,peer report dates and ABNB lead days are in the file,"none, but the PIT feature drops any peer whose lead_days <= 0","exact, after the point-in-time correction in 20_temporal_validation.py"
Inside Airbnb listing dumps,"data/raw/inside_airbnb/, data/processed/overnight/08_ia_city_yoy.csv",irregular monthly/quarterly,dump date known exactly,yes for the dump date,each dump is a dated snapshot,none; dumps precede the print by 1-8 weeks,CAVEAT (audit A04): partial snapshots contaminate some y/y comparisons. Coverage flags must be respected; the matched-listing series is the safer one and is what the spec uses.
Common Crawl listing survival,data/processed/cc_listing_survival.csv,per crawl,crawl date known,yes,crawl dates are in the file,none; not in the primary set,CAVEAT (audit A05): crawls do not cover every quarter; the y/y is now computed on a contiguous quarterly index so a gap stays missing
Google Trends,data/processed/overnight/08_trends_weekly.csv,weekly,~2 days,no,"Google renormalises the whole history on every pull, so today's history is not the history a 2023 decision-maker saw",n/a,EXCLUDED FROM THE PRIMARY SET for exactly this reason; kept in the exploratory ledger only
"FRED macro (DTWEXBGS, ICSA, CUSR0000SEHB)",data/processed/overnight/05_fred_cache,daily/weekly/monthly,1-30,in principle via ALFRED; not done here,ALFRED archives FRED vintages,none; not in the primary set,APPROXIMATION: current vintage. DTWEXBGS and ICSA are essentially unrevised; CPI lodging is revised through seasonal factors.
BEA hotel spend and price,data/raw/bea/,monthly,"~30, revised for years",no (our pull is current vintage),-,none; not in the primary set,"APPROXIMATION: current vintage; materially revised series, so any result using it is exploratory"
ABNB and QQQ daily OHLC,data/processed/overnight/20_prices_ohlc.csv (yfinance),daily,0,yes,prices are not revised; ABNB pays no dividend and has not split,none,exact
