statement_id,date,period_referenced,event,speaker,role,theme,quote,quantity,quantity_num_low,quantity_num_high,unit,basis,scope,night_weighted,official_or_mirror,quote_verified,source_key,source_file,source_url,access_date,note
D001,2025-08-14,3Q25,newsroom,Airbnb Newsroom,company,rollout_us,"We've introduced a new way to pay, offering US guests the option to reserve a stay and pay $0 upfront when they book eligible domestic stays.",$0 upfront,,,usd,eligibility rule,"US guests, US domestic stays",n/a,official,web_2026-09-11,news_us_launch,,https://news.airbnb.com/reserve-now-pay-later/,2026-09-11,"Announcement date. Management separately dates the launch to the beginning of 3Q25, so the announcement is not the treatment start."
D002,2025-08-14,3Q25,newsroom,Airbnb Newsroom,company,payment_timing,"Available for listings with a moderate or flexible cancellation policy, guests don't need to pay the full amount until shortly before the end of the listing's free cancellation period. Cancellation policies selected by hosts remain unchanged, and because the payment from guests is always due before the free cancellation period ends, hosts have time to secure another booking even if a guest cancels.",payment due shortly before end of free-cancellation window,,,timing rule,payment schedule per reservation,"eligible listings, moderate or flexible policy",n/a,official,web_2026-09-11,news_us_launch,,https://news.airbnb.com/reserve-now-pay-later/,2026-09-11,"The single most load-bearing timing fact in the ledger: the RNPL payment deadline, and therefore the decision point at which a payment-failure cancellation is recognised, sits days before check-in, not days after booking. It also states the rebooking mechanism Airbnb relies on."
D003,2025-11-06,3Q25,call,Brian Chesky,ceo,bundle_contribution,"We introduced Reserve Now, Pay Later in the United States. Not unexpectedly, this helped drive night and seats booked in Q3. We're going to continue to roll this out more broadly next year.",,,,qualitative,reported nights and seats booked,US,yes,mirror,file,call_3Q25,data/raw/transcripts/web/3Q25.html,https://stockanalysis.com/stocks/abnb/transcripts/371470-q3-2025/,2026-09-11,First nights attribution. No magnitude given.
D004,2025-11-06,3Q25,call,Ellie Mertz,cfo,eligibility,"In terms of the Reserve Now, Pay Later offering, we launched it at the beginning of Q3. It is specifically something that is being offered to U.S. customers who are traveling domestically and are choosing listings that have a flexible or moderate cancellation policy. It is not offered to the entirety of the U.S. guest population.",,,,qualitative,eligibility definition,"US guests, domestic stays, flexible or moderate policy",no,mirror,file,call_3Q25,data/raw/transcripts/web/3Q25.html,https://stockanalysis.com/stocks/abnb/transcripts/371470-q3-2025/,2026-09-11,"Treatment is guest origin x destination x host cancellation policy, not destination country. Dates launch to the beginning of 3Q25, i.e. July, not the 14 August announcement."
D005,2025-11-06,3Q25,call,Ellie Mertz,cfo,take_up,"About 70% of people that we offer Reserve Now, Pay Later take us up on that offering.",~70%,70,70,percent,take-up among guests offered the product,US eligible subset,no,mirror,file,call_3Q25,data/raw/transcripts/web/3Q25.html,https://stockanalysis.com/stocks/abnb/transcripts/371470-q3-2025/,2026-09-11,"Conditional on being offered. Not platform penetration, not a nights or GBV share. Denominator is people, not nights."
D006,2025-11-06,3Q25,call,Ellie Mertz,cfo,cancellation_effect,"Yes, there are increased cancellations, but we're highly confident that the net impact of the product is a lift to net bookings.",,,,qualitative,net bookings,US,no,mirror,file,call_3Q25,data/raw/transcripts/web/3Q25.html,https://stockanalysis.com/stocks/abnb/transcripts/371470-q3-2025/,2026-09-11,"First admission of higher cancellations. No rate, no denominator, no timing."
D007,2025-11-06,3Q25,call,Richard Clarke / Ellie Mertz,analyst_q,declined_to_quantify,Just what percentage of the acceleration in the U.S. has come from that? Any early signs of what cancellation rates might look like on those bookings or your expectations of what they might look like?,,,,n/a,question not answered with a figure,US,n/a,mirror,file,call_3Q25,data/raw/transcripts/web/3Q25.html,https://stockanalysis.com/stocks/abnb/transcripts/371470-q3-2025/,2026-09-11,Logged in the main tree as data/processed/abnb_declined_to_quantify.csv row 2025Q3 Richard Clarke. The answer substituted the ~70% take-up figure for the requested share of the acceleration and gave no cancellation rate.
D008,2025-11-06,3Q25,letter,Airbnb (shareholder letter),company,rollout_us,"In August, we launched our Reserve Now, Pay Later payment option within the U.S., which allows guests to pay $0 upfront when they book eligible domestic stays. We are encouraged by the early results. The introduction of Reserve Now, Pay Later helped drive the acceleration of Nights and Seats Booked in North America during Q3 2025.",,,,qualitative,"reported nights and seats booked, NA",North America,yes,official,file,letter_3Q25,data/raw/letters/3Q25_d40503dex991.htm,https://www.sec.gov/Archives/edgar/data/1559720/000119312525000000/d40503dex991.htm,2026-09-11,"The official letter says August; the call says beginning of Q3. Treat the in-quarter ramp date as a range July to August 2025, not a point."
D009,2025-11-06,3Q25,letter,Airbnb (shareholder letter),company,cancellation_timing,"While we expect some cancellations closer to the date of stay, which may or may not occur in the same booking quarter, we expect a net benefit to overall bookings based on prior testing.",,,,qualitative,cancellation recognition quarter,global,no,official,file,letter_3Q25,data/raw/letters/3Q25_d40503dex991.htm,https://www.sec.gov/Archives/edgar/data/1559720/000119312525000000/d40503dex991.htm,2026-09-11,Airbnb itself flags the cross-quarter recognition problem that the cohort arithmetic exists to size. This is the strongest official support for a cancellation-tail mechanism.
D010,2025-11-06,3Q25,letter,Airbnb (shareholder letter),company,lead_time,"Average lead times were up slightly on a year-over-year basis, particularly in North America in part driven by the launch of our Reserve Now, Pay Later offering.",up slightly,,,qualitative,"average booking-to-stay lead time, y/y","global, NA emphasised",no,official,file,letter_3Q25,data/raw/letters/3Q25_d40503dex991.htm,https://www.sec.gov/Archives/edgar/data/1559720/000119312525000000/d40503dex991.htm,2026-09-11,Only directional. Airbnb has never published a lead-time distribution. The one quantified lead-time datapoint in the whole record is D011.
