workstream,claim,value_claimed,value_verified,source_checked,verdict,note
01,217 distinct series in the census; 176 Krish / 34 Theo / 7 nobody,217 / 176 / 34 / 7,217 rows in file,data/processed/overnight/01_data_census.csv,confirmed,Row count matches; ownership split not independently re-tallied.
01,"Of 233 point-in-time feature-target cells in 08_feature_tests_all.csv, ZERO beat an AR(1) walk-forward",0 of 233,52 of 598 rows beat AR(1); 25 beat naive AND AR(1),data/processed/overnight/08_feature_tests_all.csv,wrong,"File has 598 rows (trends 432, eurostat 64, backlog 42, IA 36, component 24), not 233 with the stated family split. WS01 finished 01:56, WS08 wrote its CSVs at 02:16 - WS01 read a partial file. Headline negative must be restated."
01,"Indexes beating AR(1) walk-forward: 2 of 21 (FX 0.42x, price 0.65x)",2 of 21,17 of 42 rows beat AR(1); FX->adr_fx_effect 0.42x confirmed; price index->ADR 0.68x not 0.65x,data/processed/overnight/08_index_backtests.csv,wrong,Same stale-snapshot problem.
01,"Funds-held y/y lag 1 is 1.85x AR(1) - backlog is coincident, not predictive",1.85x AR(1),1.85x on the 2022Q1 window (wf_n 14); 0.59x on the 2023Q1 window (wf_n 10),data/processed/overnight/08_backlog_tests.csv rows 3 and 24,confirmed,"Both numbers are in the file. WS01 quotes the long window, WS08 the short one. See CONF-07."
01,"FX effect on ADR = -0.59 pp per +1 pt USD broad y/y, n 14, r -0.95","-0.59, n14, r-0.95","slope -0.5925, r -0.9508, n 14",data/processed/overnight/05_fx_fits.csv (adr_fx/usd_broad/post22),confirmed,Correct for the post-2022 n=14 window; WS05 and WS08 use the n=17 ex-2021 window (-0.715). See CONF-06.
01,"Guide midpoint + trailing cushion: MAE 1.1%, beat 19/19",19/19,"19 of 19 beats vs midpoint, min +0.86%",data/processed/overnight/02_guidance_cushion_series.csv,confirmed,MAE not recomputed.
01,"Nights-acceleration sign sets the day-1 reaction, 17 of 21",17 of 21,not reproducible from tonight's files; WS04's accel regression has R2 0.032 and LOO R2 -0.18,data/processed/overnight/04_reaction_tests.csv row 8,unsupported,The sign rule comes from the earlier predictive study. As a regression on tonight's data it fails out of sample. Present as a base rate only.
02,15 of 19 prints finished above the TOP of the revenue range; none below the bottom,"15/19 above top, 0 below","15 above top, 0 below low",data/processed/overnight/02_guidance_cushion_series.csv,confirmed,
02,"Mean beat vs midpoint +2.54%, median +2.52%; last 8 mean +1.86% median +1.79%",2.54/2.52/1.86/1.79,2.541/2.52/1.856/1.79,same,confirmed,25th-75th pct of last 8 = 0.95-2.63 also confirmed.
02,Range width tightened from 4.9% of midpoint (2021-22) to 1.9% (2024-26),4.9% -> 1.9%,4.76% -> 1.90%,"same, range_width_pct",confirmed,"2021-22 mean is 4.76%, stated as 4.9%. Immaterial."
