quarter,metric,frozen_value,normalized_unit,frozen_display_step,original_checked_status,original_publication_date,original_publication_basis,original_time_value,original_time_basis,original_source_attempt_url,original_value,original_unit,original_normalized_value,original_source_id,original_source_url,original_document,original_section,original_first_known_date,original_precision_step_normalized,original_calculated,finer_or_later_corroboration_value,finer_or_later_corroboration_unit,finer_or_later_corroboration_normalized_value,finer_or_later_corroboration_source_id,finer_or_later_corroboration_source_url,finer_or_later_corroboration_document,finer_or_later_corroboration_section,finer_or_later_corroboration_first_known_date,finer_or_later_corroboration_precision_step_normalized,finer_or_later_corroboration_calculated,best_checked_value,best_minus_frozen,original_headline_rounding_compatible,best_vs_frozen_rounding_compatible,discrepancy_classification,precision_timing,filed_metric_name,definition,notes,treatment,as_of
2020Q3,nights_m,61.8,million_bookings,0.1,unavailable,2020-11-16,SEC filing index filed date independently observed,2020-11-16 16:23:52,SEC index displayed acceptance clock; timezone not printed; do not assign UTC/ET,https://www.sec.gov/Archives/edgar/data/1559720/000119312520294801/d81668ds1.htm,,,,,,,,,,,61.8,million_bookings,61.8,2020Q4_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521056952/d147144dex991.htm,Airbnb 2020Q4 shareholder letter,Quarterly summary: historical Q3 2020,2021-02-25,0.1,False,61.8,0.0,,True,unresolved,later_document,Nights and Experiences Booked,stay nights plus experience participant seats; not pure hotel room nights,Original IPO body unavailable after bounded primary retrieval. Later corroboration does not establish original printed value.,descriptive_source_audit_no_replacement,2026-09-14
2020Q3,gbv_musd,8029.3,USD_million,0.1,unavailable,2020-11-16,SEC filing index filed date independently observed,2020-11-16 16:23:52,SEC index displayed acceptance clock; timezone not printed; do not assign UTC/ET,https://www.sec.gov/Archives/edgar/data/1559720/000119312520294801/d81668ds1.htm,,,,,,,,,,,8029.3,USD_million,8029.3,2021Q3_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521320113/d245727dex991.htm,Airbnb 2021Q3 shareholder letter,Key business metrics: comparative Q3 2020 GBV,2021-11-04,0.1,False,8029.3,0.0,,True,unresolved,later_document,Gross Booking Value,"Booking-event gross value, includes host earnings, service/cleaning fees and taxes, net cancellations/alterations; not recognized revenue","Later corroboration; earliest in checked evidence, not proof of original S-1 precision.",descriptive_source_audit_no_replacement,2026-09-14
2020Q3,adr_usd,129.92,USD_per_aggregate_booking,0.01,unavailable,2020-11-16,SEC filing index filed date independently observed,2020-11-16 16:23:52,SEC index displayed acceptance clock; timezone not printed; do not assign UTC/ET,https://www.sec.gov/Archives/edgar/data/1559720/000119312520294801/d81668ds1.htm,,,,,,,,,,,129.95,USD_per_aggregate_booking,129.95,2020Q4_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521056952/d147144dex991.htm,Airbnb 2020Q4 shareholder letter,Quarterly summary: historical Q3 2020 ADR,2021-02-25,0.01,False,129.95,0.030000000000001137,,False,definition_difference,later_document,Nights and Experiences Booked,"stay nights plus experience participant seats; ADR is direct GBV per aggregate booked unit, except explicitly calculated frozen 2020 ADR","Frozen ADR calculated as round(8029.3/61.8,2)=129.92 by 02_kpi_panel.py; directly reported historical ADR 129.95 uses underlying precision. Not a demonstrated transcription/revision.",descriptive_source_audit_no_replacement,2026-09-14
2020Q3,revenue_musd,1342.3,USD_million,0.1,unavailable,2020-11-16,SEC filing index filed date independently observed,2020-11-16 16:23:52,SEC index displayed acceptance clock; timezone not printed; do not assign UTC/ET,https://www.sec.gov/Archives/edgar/data/1559720/000119312520294801/d81668ds1.htm,,,,,,,,,,,1342331,USD_thousand,1342.3310000000001,2020Q4_filing,https://www.sec.gov/Archives/edgar/data/1559720/000155972021000010/airbnb-10k.htm,Airbnb 2020Q4 10-K,Selected quarterly financial data: Q3 2020 GAAP revenue,2021-02-26,0.001,False,1342.3310000000001,0.031000000000176442,,True,unresolved,later_document,GAAP revenue,Recognized revenue; not cash bookings or GBV,Original IPO body unavailable after bounded primary retrieval. Later corroboration does not establish original printed value.,descriptive_source_audit_no_replacement,2026-09-14
2020Q4,nights_m,46.3,million_bookings,0.1,checked,2021-02-25,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2021-02-25T22:00:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312521056952/d147144dex991.htm,46.3,million_bookings,46.3,2020Q4_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521056952/d147144dex991.htm,Airbnb 2020Q4 shareholder letter,Quarterly summary,2021-02-25,0.1,False,,,,,,,,,,,46.3,0.0,True,True,exact,no_finer_value_confirmed,Nights and Experiences Booked,stay nights plus experience participant seats; not pure hotel room nights,,descriptive_source_audit_no_replacement,2026-09-14
2020Q4,gbv_musd,5905.7,USD_million,0.1,checked,2021-02-25,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2021-02-25T22:00:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312521056952/d147144dex991.htm,5.9,USD_billion,5900.0,2020Q4_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521056952/d147144dex991.htm,Airbnb 2020Q4 shareholder letter,Quarterly summary,2021-02-25,100.0,False,5905.7,USD_million,5905.7,2020Q4_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521056952/d147144dex991.htm,Airbnb 2020Q4 shareholder letter,Key business metrics: GBV (millions),2021-02-25,0.1,False,5905.7,0.0,True,True,exact,same_document_or_same_date,Gross Booking Value,"Booking-event gross value, includes host earnings, service/cleaning fees and taxes, net cancellations/alterations; not recognized revenue",,descriptive_source_audit_no_replacement,2026-09-14
2020Q4,adr_usd,127.55,USD_per_aggregate_booking,0.01,checked,2021-02-25,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2021-02-25T22:00:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312521056952/d147144dex991.htm,127.56,USD_per_aggregate_booking,127.56,2020Q4_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521056952/d147144dex991.htm,Airbnb 2020Q4 shareholder letter,Quarterly summary,2021-02-25,0.01,False,,,,,,,,,,,127.56,0.010000000000005116,False,False,definition_difference,no_finer_value_confirmed,Nights and Experiences Booked,"stay nights plus experience participant seats; ADR is direct GBV per aggregate booked unit, except explicitly calculated frozen 2020 ADR","Frozen ADR calculated as round(5905.7/46.3,2)=127.55 by 02_kpi_panel.py; original direct ADR 127.56. Ratio of rounded components differs from direct disclosure.",descriptive_source_audit_no_replacement,2026-09-14
2020Q4,revenue_musd,859.1,USD_million,0.1,checked,2021-02-25,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2021-02-25T22:00:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312521056952/d147144dex991.htm,859,USD_million,859.0,2020Q4_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521056952/d147144dex991.htm,Airbnb 2020Q4 shareholder letter,Quarterly summary,2021-02-25,1.0,False,859264,USD_thousand,859.264,2020Q4_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521056952/d147144dex991.htm,Airbnb 2020Q4 shareholder letter,Consolidated statements of operations: GAAP revenue (thousands),2021-02-25,0.001,False,859.264,0.16399999999998727,True,False,unresolved,same_document_or_same_date,GAAP revenue,Recognized revenue; not cash bookings or GBV,"Frozen 859.1 is not compatible with original GAAP 859.264 rounded to 0.1m; source pipeline costlines supplied 859.1, no revision evidence. Outcome/refit effect not quantified.",descriptive_source_audit_no_replacement,2026-09-14
2021Q1,nights_m,64.4,million_bookings,0.1,checked,2021-05-13,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2021-05-13T21:00:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312521160458/d476842dex991.htm,64.4,million_bookings,64.4,2021Q1_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521160458/d476842dex991.htm,Airbnb 2021Q1 shareholder letter,Quarterly summary,2021-05-13,0.1,False,,,,,,,,,,,64.4,0.0,True,True,exact,no_finer_value_confirmed,Nights and Experiences Booked,stay nights plus experience participant seats; not pure hotel room nights,,descriptive_source_audit_no_replacement,2026-09-14
2021Q1,gbv_musd,10300.0,USD_million,100,checked,2021-05-13,Original SEC earnings exhibit; date corroborated by inherited source manifest/calendar; currently served URL not archived historical bytes,2021-05-13T21:00:00Z,"Inherited webcast start; conservative certainly-public-by proxy, NOT exact release/filing time",https://www.sec.gov/Archives/edgar/data/1559720/000119312521160458/d476842dex991.htm,10.3,USD_billion,10300.0,2021Q1_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521160458/d476842dex991.htm,Airbnb 2021Q1 shareholder letter,Quarterly summary,2021-05-13,100.0,False,10289.7,USD_million,10289.7,2021Q1_letter,https://www.sec.gov/Archives/edgar/data/1559720/000119312521160458/d476842dex991.htm,Airbnb 2021Q1 shareholder letter,Key business metrics: GBV (millions),2021-05-13,0.1,False,10289.7,-10.299999999999272,True,True,rounding,same_document_or_same_date,Gross Booking Value,"Booking-event gross value, includes host earnings, service/cleaning fees and taxes, net cancellations/alterations; not recognized revenue",,descriptive_source_audit_no_replacement,2026-09-14
