register_id,vendor,period,metric,value,unit,n_estimates,as_of_timestamp,url,source_path,role,pit_usable,vendor_attributed,note
PG-2021Q4-revenue,,2021Q4,revenue,,musd,,,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,False,False,vintage_unknown: no contemporaneous next-quarter consensus retrievable; excluded from PIT use
PG-2022Q1-revenue,CNBC unattributed,2022Q1,revenue,1240.0,musd,,2022-02-15,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,False,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
PG-2022Q2-revenue,CNBC unattributed,2022Q2,revenue,1960.0,musd,,2022-05-03,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,False,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
PG-2022Q3-revenue,StreetAccount,2022Q3,revenue,2770.0,musd,,2022-08-02,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
PG-2022Q4-revenue,Refinitiv,2022Q4,revenue,1850.0,musd,,2022-11-01,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
PG-2023Q1-revenue,Refinitiv,2023Q1,revenue,1690.0,musd,,2023-02-14,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
PG-2023Q2-revenue,Refinitiv,2023Q2,revenue,2420.0,musd,,2023-05-09,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
PG-2023Q3-revenue,Refinitiv,2023Q3,revenue,3220.0,musd,,2023-08-03,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
PG-2023Q4-revenue,LSEG,2023Q4,revenue,2180.0,musd,,2023-11-01,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
PG-2024Q1-revenue,LSEG,2024Q1,revenue,2030.0,musd,,2024-02-13,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
PG-2024Q2-revenue,LSEG,2024Q2,revenue,2740.0,musd,,2024-05-08,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
PG-2024Q3-revenue,LSEG,2024Q3,revenue,3840.0,musd,,,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,False,True,"vintage_unknown: this value appears only in 16_consensus_at_print_merged.csv, is absent from 04_consensus_at_print.csv, carries no as-of timestamp or url, and the same row's notes column says NEXT-QUARTER CONSENSUS NOT FOUND. Registered for audit; excluded from every PIT use."
PG-2024Q4-revenue,LSEG,2024Q4,revenue,2420.0,musd,,2024-11-07,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
PG-2025Q1-revenue,LSEG,2025Q1,revenue,2300.0,musd,,2025-02-13,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
PG-2025Q2-revenue,LSEG,2025Q2,revenue,3040.0,musd,,2025-05-01,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
PG-2025Q3-revenue,LSEG,2025Q3,revenue,4050.0,musd,,2025-08-06,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
PG-2025Q4-revenue,LSEG,2025Q4,revenue,2670.0,musd,,2025-11-06,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
PG-2026Q1-revenue,LSEG,2026Q1,revenue,2530.0,musd,,2026-02-12,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
PG-2026Q2-revenue,LSEG,2026Q2,revenue,3460.0,musd,,2026-05-07,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
PG-2026Q3-revenue,LSEG,2026Q3,revenue,4610.0,musd,,2026-08-06,,data/processed/overnight/16_consensus_at_print_merged.csv,pre_guide,True,True,"PRE-GUIDE Street, quoted on the morning of the print that carried the guide. Use this, never a later vendor snapshot, as the Street baseline."
