print,date,forward_take_rate_sentence,driver_named,positive_monetization_driver_named
4Q22,2023-02-14,Q1 2023 similar to Q1 2022; seasonality similar to 2022,none,no
2Q23,2023-08-03,Q3 2023 higher than Q3 2022,none in sentence (long-stay fee cut mentioned as a reduction),no
3Q23,2023-11-01,Q4 2023 slightly higher than Q4 2022,none,no
4Q23,2024-02-13,Q1 2024 notably higher largely due to the timing of the Easter holiday; cross-currency fee to be enabled April 1,Easter timing; cross-currency fee announced,yes (cross-currency fee)
2Q24,2024-08-06,Q3 2024 higher primarily due to timing of bookings and cross-currency transaction fees partially offset by customer-service contra-revenue,timing; cross-currency fees; contra-revenue,yes
3Q24,2024-11-07,Q4 2024 slightly lower primarily due to one-time gift-card benefits in Q4 2023,gift cards,no
4Q24,2025-02-13,call: FX service fee lifts the FY25 implied take rate by about 20 basis points,FX service fee (quantified),yes
1Q25,2025-05-01,Q2 2025 higher than Q2 2024 (letter: cross-currency fee benefit offset by Easter timing in Q1),cross-currency fee; Easter,yes
2Q25,2025-08-06,Q3 2025 flat year-over-year,none,no
3Q25,2025-11-06,Q4 2025 relatively flat; Q3 decline due to FX and booking-vs-stay timing,FX; timing,no
4Q25,2026-02-12,Q1 2026 up slightly; call: mostly timing,timing,no
1Q26,2026-05-07,FY26 take rate lifted by simplified fee structure and insurance; Q2 up slightly; back half slightly higher,fee migration; insurance,yes (fee migration)
2Q26,2026-08-06,Q3 relatively in-line; FY relatively flat on RNPL timing and incentives; absent incentives slightly higher driven by monetization initiatives,RNPL timing; incentives; monetization initiatives,conditional
