id,severity,file,location,finding,fix
1,material,analysis/src/reverse_dcf/E_positioning_card.py; research/notes/2026-09-13_market-implied-model.md s.10 table 2; docs/reverse_dcf/SYNTHESIS.md lines 21 and 34,ntm_rev() and paths block; 'team bridge to within $2m',"30_quarterly_pnl.csv adds nights, ADR, FX and residual (rev_yoy is the sum); the script compounds them, rebuilding the team NTM at $14,863m vs the file's $14,818m. Price-implied NTM $14,860m is $43m (0.29pp) above the team's own path, not $2m below. On the additive arithmetic the uplift is +0.32pt and the price-implied 3Q26 is 10.61% (marginal acceleration, not flat); team-path joint-solve price $168.63 (-0.9%) not $170.28","Scale the file's additive bridge or its revenue_musd directly; restate $2m as $43m / 0.3pp inside the fitted-line band; carry the team row at its own NTM; label the comparison JUDGEMENT"
2,material,research/notes/2026-09-13_market-implied-model.md s.10 table 2 and ladder row 3; E_positioning_card.py base,'team base (WS29/30)' rows,"Scaled base is WS10's 10.29 / 9.94 nights path, retired on 10 Sep (nights-baseline reconciliation) for 9.9 / 8.9; the team revenue ($4,771m / $3,111m) was built on the retired nights. Across the four conventions the price-implied 3Q26 runs 9.9 to 10.6%, straddling the dead band; the 'flat' sign is not identified","State which base is used; report price-implied 3Q26 as a 9.9 to 10.6 range with the sign labelled JUDGEMENT (flat within the method's resolution, 0.85 to 1.5pt below the Street bar); ask WS29/30 to rebuild the revenue bridge on the reconciled nights"
3,material,research/notes/2026-09-13_market-implied-model.md s.10 claim 1 and 'What the card supports',"'the Street's nights bar has implied acceleration only three times ... 5 Nov is the fourth'","The bar's sign matches management's next-quarter nights guide direction in 16 of 16 prints with a guide (02_guidance_ledger.csv); the three accelerating bars follow the three accelerating guides, all met; the 3Q26 bar sits in the upper half of the 'low double-digit' bucket whose midpoint (11.0) is already +0.66pt. The bar is the guide, not independent Street positioning; management's nights guides show 0 downside misses in 16 resolved","Reframe: management has guided acceleration three times and delivered three times; the Street prices the guide every time; the 3Q26 bucket midpoint implies acceleration and the Street added 0.45pt. State that the team's call is the first downside miss of a nights guide in the ledger"
4,material,E_positioning_card.py street_ntm; market note s.10 table 2 Street row and ladder row 1,15745 x 6286 / 14231.3,"1H27 share uses the management-delivered FY26 as denominator under the Street's FY27. On the Street's own FY26 ($14,130m) the Street NTM is $14,926m (+13.4%), uplift +0.46pt, implied 3Q26 10.75% (acceleration), price $172.58, fundamental +1.4% (+1.1% on $14,160m)","Use the Street FY26 base or show both; the Street row then reads acceleration, +1.1 to +1.4%"
5,material,E_positioning_card.py ladder row 4; market note s.10 ladder table row 4,d = 9.9 - base['3Q26']; ntm_rev(d),"Labelled '3Q26 9.9% and 4Q26 8.1%' but the construction shifts all four NTM quarters by -0.39pt (4Q26 at 9.55%, 1H27 at 7.8%); the '- py_rev * 0' term is a no-op. Correct constructions: -0.4% (C's $3,102m), -1.4% (8.1% one for one, $3,064m), -1.7% to -3.9% if the lap also hits 1H27. C's $3,102m rests on a 0.38%/pt elasticity that is an artefact of the finding-2 mismatch","Build the row quarter by quarter with 1H27 stated explicitly; relabel; quote the range"
6,material,E_positioning_card.py ladder; market note s.10 ladder 'Fundamental' and 'Combined' columns,price_from_ntm(g_new); combined_low/high,"Fundamental level depends on the units assumption (the +1.37pp bias is unstable per audit A), so the level is uncertain by about +/- $7 to 15 while row differences are robust. 'Combined' is an undocumented one-sided sum (fundamental included only when it shares the sign rule's sign) and adds a total-return sign rule to an estimate term, double counting the estimate component (WS12 ~29% of print moves); delivered row +5.8 to +8.3% overstated","Present the fundamental column as differences vs the team path or as a range over both units, labelled JUDGEMENT; drop 'combined' or document it as multiple (sign rule) plus estimate (fundamental) with a simple sum"
7,material,E_positioning_card.py sign block; E_street_sign_history.csv row 3Q21; E_street_sign_summary.csv; market note s.10 table 1,"street_positioned_for and printed for 3Q21; '15 scored prints'; 'flat (3Q21, 3Q25) 2 ... +6.8%'","3Q21 has no prior-quarter growth (NaN); both comparisons fall through to 'flat'. Flat bucket is 1 print (3Q25, printed acceleration, +0.6%); scored sample is 16 with a comparator (17 rows); SYNTHESIS.md says 16","Guard the NaN; table accel 3 / decel 12 / flat 1 / no comparator 1; 'three times in 16 prints with a comparator'"
8,minor,E_street_sign_history.csv; market note s.10 claim 1,vendor of the bar series,"Series is StreetAccount via CNBC (3Q21 to 4Q25), LSEG (1Q26), Zacks seven-analyst (2Q26, flagged in 16_consensus_additions.csv), Bloomberg FA (3Q26E, 4Q26E); the merged file's vendor and confidence columns describe the revenue consensus; C's 2Q26 case study calls 145.44m 'StreetAccount'. A 3Q26 bar 0.77% below Bloomberg's (147.75m) would read flat; no other vendor's bar is retrievable","Add a vendor column; say four vendors; state the 0.77% margin; correct C's label"
9,minor,market note s.10 claim 1,'only three times',"4Q21 is the reopening comp (+61.9% bar on the 4Q20 trough) and sits outside C's pre-stated 3Q22-on sample; post-3Q22 the count is 2 of 13",Quote both counts
10,minor,market note s.10 claim 1,comparator,"Against the prior-year same-quarter rate the bar accelerates on 2 of 13 scoreable prints (1Q26, 2Q26, both printed acceleration, mean +7.4%) and the 3Q26E and 4Q26E bars both accelerate on that comparator; 'first since 4Q24' holds only on the prior-quarter comparator",One sentence reporting the alternative comparator
