rank,source_id,history,frequency,archive_type,publication_timing_evidence,revision_policy,true_vintage_support,history_spans_23_target_events,strict_eligible_events_now,potential_events_after_resolution,cutoff_assessment,status,key_gap
1,WSF_FERRY_RIDERSHIP,"Annual 2002-present; quarterly 2009-present",Quarterly,"Dated static quarterly PDF reports; mutable dashboard also exists","Verified examples carry report-generation timestamps 2021-01-05 08:33:30; 2023-04-05 16:00:02; 2025-07-05 16:00:02","Later-correction policy not located; PDFs appear static",yes_for_dated_pdfs,true,0,"up to 23/23","Cadence suggests a preceding report for every target event, but each artifact's public availability must be verified strictly before its cutoff",backtestable_now,"Path-specific automation permission and per-report publication audit remain unresolved"
2,NASA_BLACK_MARBLE_VNP46A2,"January 2012-present",Daily,"Authenticated granule archive with production metadata","NASA materials establish daily 500 m product history; exact production latency requires granule audit","Collection versions may be reprocessed",potential_via_granule_metadata,true,0,"up to 23/23","History spans all events, but no granule is eligible until its production timestamp and collection version are verified",pending_sync,"Earthdata credential sync plus vintage/reprocessing audit required"
3,NOAA_HMS_SMOKE_FIRE,"2005-present",Daily,"Daily fire/smoke archive and annual bundles","Operational schedule states initial fire output by 08:00 ET and smoke classifications around 11:00-12:00 and 19:00-20:00 ET","No backfill; satellite/input and 2022 product changes; annual bundles show later regeneration",conditional_only,true,0,"up to 23/23","Nominal daily timing is strong, but regenerated bundles are not proof of the original vintage",pending_permission,"Original dated-file mtimes/checksums and robots permission remain unresolved"
4,NPS_VISITOR_USE,"Monthly records from 1979",Monthly,"Current API/database history","NPS FAQ states preliminary monthly data are available by the 15th of the next month","Monthly records remain editable until annual finalization in Q1",no,true,0,"0 without archived preliminary releases","Recent month is unavailable before most call cutoffs and the present database is a revised snapshot",pending_permission,"No vintage endpoint or preserved preliminary release archive located"
5,FTA_NTD_MONTHLY_RIDERSHIP,"Monthly ridership back to 2002",Monthly,"Current monthly data products","FTA states release in the first full week, normally the 4th-7th, with a two-month lag","Raw and complete files differ; current products incorporate estimates/adjustments and may overwrite prior releases",no,true,0,"up to 23/23 if historical release files are recovered","The formal lag is auditable, but current history cannot reconstruct the file available at each cutoff",pending_permission,"Historical release archive/vintages not located"
6,TFL_SANTANDER_CYCLE_HIRES,"September 2015-present",Weekly,"Dated weekly journey-data files","Official cycling-data directory describes weekly files and journey fields","Correction/replacement behavior not established",unverified,true,0,"up to 23/23","Static-looking weekly files may support replay only after timestamp, replacement, and permission audit",pending_permission,"Santander Cycles website terms create automation ambiguity"
7,MELBOURNE_PEDESTRIAN_COUNTS,"2009-present",Hourly_updated_monthly,"Current open-data dataset with historic observations","Official portal describes hourly counts since 2009 and monthly updates","Sensor locations/status change; prior monthly releases not evidenced",no,true,0,"up to 23/23 if archived monthly snapshots exist","Historic observation timestamps are not historical publication vintages",pending_permission,"Portal terms are undefined and snapshot archive not located"
8,MARINE_CADASTRE_AIS,"Bulk subset evidenced for 2020-2025",Daily_or_annual_bulk,"Bulk AIS downloads; AccessAIS ordering service currently unavailable","Official portal exposes bulk data and a 2020-01-01 to 2025-12-31 range","Release calendar, corrections, and vintage preservation unresolved",unverified,partial,0,"approximately 20/23; exact coverage unresolved","Could measure island/resort vessel activity, but neither full cohort coverage nor point-in-time timing is established",prospective_only,"Publication/vintage evidence and service availability are insufficient"
9,CDOT_CONTINUOUS_TRAFFIC_COUNTS,"History start not established",Hourly_with_daily_monthly_annual_views,"Current traffic explorer and raw COGNOS reports","Official guidance describes 118 continuous stations and hourly counts","Outages, flat counts, imputation/review, and corrections require audit",no,unknown,0,unknown,"No defensible historical publication schedule or vintage trail was found",pending_permission,"History start, release lag, vintage archive, and exact reuse terms unresolved"
10,NYC_311_SERVICE_REQUESTS,"2010-present",Daily,"Mutable current open-data tables split into 2010-2019 and 2020-present","Dataset is updated daily and was made public in 2011","Status, category, agency, and other fields can change after creation; taxonomy and table split changed",no,true,0,"0 for resolved fields without snapshots","Only creation-time facts could be considered prospectively; current resolved records would leak later updates",prospective_only,"No historical vintages; substantial semantic drift and privacy-minimization burden"
