"print","venue","keywords","sentence"
"3Q25","letter","take rate","We anticipate our implied take rate in Q4 2025 to be relatively flat year-over year. ¦ Q4 GBV and Nights and Seats Booked."
"3Q25","letter","take rate","Monetization and Take Rate During Q3 2025, the implied take rate (defined as revenue divided by GBV) of 17.9% was down year-over- year compared to 18.6% in Q3 2024, primarily due to FX and the timing of when guests booked their travel and when guests stayed."
"3Q25","letter","fee structure","In Q3 2025, revenue from guest travel insurance, which is available in 12 of our largest countries, increased over 25% year-over-year. 2 A reconciliation of non-GAAP financial measures to the most comparable GAAP measures is provided at the end of this letter. 11 In October, we took steps to simplify our fee structure, which we believe will help our hosts price more competitively."
"3Q25","letter","single service fee;fee structure","We migrated property management software (“PMS”) hosts on our split fee structure (where hosts paid a 3% fee and guests paid a separate service fee) to a single 15.5% single service fee."
"3Q25","letter","single service fee;fee structure","Non-PMS hosts currently on our single service fee structure will also see the 15.5% fee applied to their listings."
"4Q25","letter","simplified fee","We focused on what matters to our hosts and guests, including better search, improved merchandising, more flexible payment and booking options, and simplified fees."
"4Q25","letter","take rate","We expect our implied take rate in Q1 2026 to be up slightly year-over-year. ¦ We expect GBV to increase in the low teens year-over-year, driven by high-single-digit growth in Nights and Seats Booked and a moderate increase in ADR due to price appreciation and FX. ¦ We expect Adjusted EBITDA Margin to be approximately flat year-over-year."
"4Q25","letter","take rate","Adjusted EBITDA Margin in Q4 2025 was 28%, compared to 31% in Q4 2024.¹ Monetization and Take Rate During Q4 2025, the implied take rate (defined as revenue divided by GBV) of 13.6% was down year-over- year compared to 14.1% in Q4 2024, primarily due to FX and the timing of when guests booked their travel and when guests stayed."
"4Q25","letter","fee structure","Beginning in October, we started taking steps to simplify our fee structure, which we believe will help our hosts price more competitively."
"4Q25","letter","single service fee;fee structure","We began migrating property management software (“PMS”) hosts on our split fee structure (where hosts paid a 3% fee and guests paid a separate service fee) to a 15.5% single service fee."
"4Q25","letter","single fee;fee structure","Additionally, most non-PMS hosts on our platform that were previously subject to our single fee structure are now subject to the 15.5% fee as of December."
"4Q25","call","simplified fee;fee structure","The launch of Reserve Now, Pay Later, updates to our cancellation policy, and the beginning of our migration to a simplified fee structure."
"4Q25","call","simplified fee","Our updated cancellation policies and simplified fees also contributed to both nights and GBV growth in the quarter."
"4Q25","call","fee structure","As a reminder, beginning in October, we started simplifying our fee structure, which we believe will help our hosts price more competitively."
"4Q25","call","single service fee","We began migrating our API hosts to a single service fee and now plan to migrate more hosts in 2026."
"4Q25","call","single service fee","Hosts on a single service fee can adjust their prices to maintain the same net earnings, while guests continue to see the full price upfront."
"4Q25","call","take rate","And then secondly, could you just talk about the take rate dynamics in Q1, you know, what's embedded in your, in your, in your guidance here?"
"4Q25","call","take rate","So is, is there something that's boosting take rate in Q1, that, that it causes that revenue growth to accelerate?"
"4Q25","call","take rate","In terms of the take rate expansion in Q1 and, you know, what's going on with the, I would say, you know, high level of growth in Q1 relative to Q4, a couple dynamics."
"4Q25","call","take rate","And then in terms of the implied take rate, you know, it should be modestly above where we were in Q1 of last year, mostly due to some timing consideration."
"4Q25","call","fee structure","You know, the business was set up with a dual fee, fee structure, where there was a 3% host fee and then a variable guest fee on top of that."
"4Q25","call","fee structure","What we found over time is that that dual fee structure makes it difficult for hosts to effectively price their listing."
"4Q25","call","single service fee","So from the migration that we completed back in October, which was to migrate all of our API-connected hosts to the single service fee, we've seen great results."
"4Q25","call","single service fee;fee structure","We are currently piloting in certain countries a further migration for some for our individual hosts, again, from the dual fee structure to the single service fee."
"1Q26","letter","take rate;simplified fee;fee structure","The upward revision to our revenue outlook reflects meaningful progress across our growth initiatives and improvements to monetization through a simplified fee structure and our insurance programs, which are expected to lift our full-year take rate."
"1Q26","letter","take rate","We expect our implied take rate in Q2 2026 to be up slightly year-over-year. ¦ In Q2 2026, we expect GBV to increase in the low double digits year-over-year, driven by growth in Nights and Seats Booked and a moderate increase in ADR."
"1Q26","letter","take rate","Monetization and Take Rate During Q1 2026, the implied take rate (defined as revenue divided by GBV) of 9.2% was relatively in-line with 9.3% in Q1 2025."
"1Q26","letter","take rate","Factors impacting the Q1 2026 take rate included FX and the timing of when guests booked their travel and when guests stayed—a dynamic that reflects the growth of Reserve Now, Pay Later, which has driven guests to book further in advance."
"1Q26","letter","fee structure","We are excited by the performance of this offering over the past few years and have begun piloting additional forms of insurance products to support both guests and hosts. 9 Beginning in Q4 2025, we started taking steps to simplify our fee structure, which we believe will help our hosts price more competitively and create greater guest transparency."
"1Q26","letter","single service fee;fee structure","We began migrating property management software hosts from a split fee structure (where hosts paid a 3% fee and guests paid a separate service fee) to a single service fee of 15.5% for most hosts."
"1Q26","call","simplified fee;fee structure","The broader expansion of Reserve Now, Pay Later, updates to our cancellation policies, and the migration of certain hosts to a simplified fee structure."
"1Q26","call","single service fee","Lastly, we began migrating our API hosts to a single service fee."
"1Q26","call","fee structure","We believe this simplification of fee structure will help our hosts price more competitively and provide greater price transparency."
"1Q26","call","single service fee","Over a quarter of our active listings is now subject to the single service fee."
"1Q26","call","single service fee","We're testing the expansion of the single service fee to more hosts this year, we'll continue iterating to simplify pricing, improve transparency, and help our hosts stay competitive."
"1Q26","call","take rate;simplified fee;fee structure","The upward revision to our revenue outlook reflects meaningful progress across our growth initiatives and improvements to monetization through a simplified fee structure and our insurance program, which are expected to lift our full-year take rate."
"1Q26","call","monetization initiative","Underlying demand is strong, our product improvements are working, our monetization initiatives are gaining traction, and our balance sheet and significant liquidity give us the flexibility to keep investing."
"1Q26","call","take rate","I guess you talked about expanding take rate."
"1Q26","call","take rate","Is it just small enough that it doesn't affect your take rate trajectory?"
"1Q26","call","take rate","You shouldn't anticipate that it has a negative impact on our take rate this year."
"1Q26","call","take rate;single fee;fee structure","Instead, as we called out in the letter, you should see modest upside to our take rate from both the migration to the single fee structure as well as our Insurance Program."
"1Q26","call","take rate","You shouldn't see this as a negative to our take rate."
"1Q26","call","take rate","Third, as we called out in the letter, we're starting to see the benefit from some of our monetization efforts, you should see a slightly higher implied take rate in the back half of the year."
"2Q26","letter","single service fee","We introduced simpler pricing and more flexible cancellation policies to help hosts succeed. ¦ Simplified pricing in Airbnb Setup: New hosts can more easily set die ff rent weekday and weekend rates. ¦ Single service fee for API hosts: Hosts can more easily set the same price guests see. ¦ Updated cancellation policies: We migrated eligible listings from Strict to Firm cancellation policies, helping hosts attract more bookings."
"2Q26","letter","take rate","We expect our implied take rate to remain relatively in-line year-over-year. ¦ We expect year-over-year GBV growth to be in the mid teens, driven by low double-digit growth in Nights and Seats Booked and a moderate increase in ADR due to mix shift and price appreciation. ¦ We expect Adjusted EBITDA to increase year-over-year and Adjusted EBITDA Margin to be down slightly compared to Q3 2025, due to timing of investments."
"2Q26","letter","take rate","Monetization and Take Rate During Q2 2026, the implied take rate (defined as revenue divided by GBV) of 13.2% was in-line with Q2 2025."
"2Q26","letter","take rate","Factors impacting the Q2 2026 take rate included FX and the timing of when guests booked their travel and when guests stayed—a dynamic that reflects the growth of Reserve Now, Pay Later, which has resulted in guests booking further in advance."
"2Q26","letter","fee structure","Beginning in Q4 2025, we started taking steps to simplify our fee structure, which is helping our hosts price more competitively and creating greater guest transparency."
"2Q26","letter","single fee;fee structure","We initially migrated most property management software hosts from a split fee structure (where hosts paid a 3% fee and guests paid a separate service fee) to a single fee of 15.5%."
"2Q26","call","simplified fee;fee structure","In particular, Reserve Now, Pay Later, and our simplified fee structure."
"2Q26","call","single service fee","Second, the migration of API hosts to a single service fee helped our host price more competitively and provided greater price transparency."
"2Q26","call","single fee","As a result of its success, we recently announced the broader rollout of the single fee to the majority of our remaining hosts, which we expect to be completed by year-end."
"2Q26","call","single service fee","Approximately half of our active listings are now subject to the single service fee."
"2Q26","call","take rate","For the full year, we expect our implied take rate to be relatively flat compared to 2025, accounting for the timing of bookings versus check-in with Reserve Now, Pay Later, as well as higher customer incentives related to new businesses during 2026."
"2Q26","call","take rate;monetization initiative","Absent these incentives, we would have anticipated our implied take rate to be slightly higher during the year, driven by our monetization initiatives and execution across our product roadmap."
"2Q26","call","take rate","We have a disproportionately American audience relative to some of our competitors, and we have an extremely favorable take rate."
"2Q26","call","single service fee","What we initially launched back in September of last year was rolling out single service fee for our API-connected hosts, which is predominantly property managers."
"2Q26","call","single service fee","Fast-forward, we did extensive testing on a broader swath of hosts this winter and spring and have begun migrating the remainder of our hosts to the single service fee."
"2Q26","call","single service fee","We anticipate by year-end, our entire supply base will be on that single service fee."
"2Q26","call","single service fee;downward pressure","As a reminder, that single service fee allows us to provide more simplified pricing recommendations and in aggregate, has a kind of downward pressure on pricing to allow us, one, to offer more value to guests, but also ensure that we are priced competitively relative to other platforms."
"2Q26","call","single service fee","On the host side, the single service fee has meant prices have become more competitive because a whole bunch of API hosts were accidentally mispricing because they were pricing on other platforms and our guest fee was going on top of that."
