guide_id,guide_date,print_quarter,target_period,expected_target,target_is_print_plus_1,guide_date_equals_print_date,guide_type,quote
ABNB-1Q22-adj_ebitda_margin_yoy_pts-2Q22-039,2022-05-03,2022Q1,2022Q2,2022Q2,True,True,floor,driving a low double-digit EBITDA margin percentage improvement on a year-over-year basis
ABNB-2Q22-adj_ebitda_margin_pct-3Q22-047,2022-08-02,2022Q2,2022Q3,2022Q3,True,True,ceiling,We expect Q3 2022 Adjusted EBITDA margin to be at or slightly below last year's all-time high margin of 49%
ABNB-3Q22-adj_ebitda_margin_pct-4Q22-055,2022-11-01,2022Q3,2022Q4,2022Q4,True,True,floor,expect quarterly Adjusted EBITDA margin to be in-line to modestly higher than last year's margin of 22%
ABNB-4Q22-adj_ebitda_margin_yoy_pts-1Q23-062,2023-02-14,2022Q4,2023Q1,2023Q1,True,True,ceiling,"In Q1 2023, we expect Adjusted EBITDA margin to be slightly down on a year-over-year basis"
ABNB-1Q23-adj_ebitda_margin_yoy_pts-2Q23-072,2023-05-09,2023Q1,2023Q2,2023Q2,True,True,ceiling,"we expect Adjusted EBITDA to be similar to Adjusted EBITDA in Q2 2022 on a nominal basis, but lower on a margin basis"
ABNB-2Q23-adj_ebitda_margin_yoy_pts-3Q23-081,2023-08-03,2023Q2,2023Q3,2023Q3,True,True,floor,We expect a record-high Adjusted EBITDA in Q3 2023 on a nominal basis and an Adjusted EBITDA margin that exceeds Q3 2022
ABNB-3Q23-adj_ebitda_margin_yoy_pts-4Q23-088,2023-11-01,2023Q3,2023Q4,2023Q4,True,True,floor,we expect a record-high fourth quarter Adjusted EBITDA in 2023 on a nominal basis and an Adjusted EBITDA margin that exceeds Q4 2022
ABNB-4Q23-adj_ebitda_margin_yoy_pts-1Q24-096,2024-02-13,2023Q4,2024Q1,2024Q1,True,True,floor,We expect Adjusted EBITDA Margin in Q1 2024 to expand relative to Q1 2023
ABNB-1Q24-adj_ebitda_margin_yoy_pts-2Q24-104,2024-05-08,2024Q1,2024Q2,2024Q2,True,True,ceiling,"we expect Adjusted EBITDA to be flat to up on a nominal basis, but down on an Adjusted EBITDA Margin basis, relative to Q2 2023"
ABNB-2Q24-adj_ebitda_margin_yoy_pts-3Q24-112,2024-08-06,2024Q2,2024Q3,2024Q3,True,True,ceiling,"we expect Adjusted EBITDA to approximate Q3 2023 on a nominal basis, but for Adjusted EBITDA Margin to decline relative to Q3 2023"
ABNB-3Q24-adj_ebitda_margin_yoy_pts-4Q24-121,2024-11-07,2024Q3,2024Q4,2024Q4,True,True,ceiling,Q4 2024 Adjusted EBITDA Margin is expected to decline relative to the same time period last year
ABNB-4Q24-adj_ebitda_margin_yoy_pts-1Q25-132,2025-02-13,2024Q4,2025Q1,2025Q1,True,True,ceiling,"In Q1 2025, we expect Adjusted EBITDA and Adjusted EBITDA Margin to decline compared to Q1 2024"
ABNB-1Q25-adj_ebitda_margin_yoy_pts-2Q25-141,2025-05-01,2025Q1,2025Q2,2025Q2,True,True,ceiling,"we expect Adjusted EBITDA to increase on a year-over- year basis, but for Adjusted EBITDA Margin to be flat to down slightly compared to Q2 2024"
ABNB-2Q25-adj_ebitda_margin_yoy_pts-3Q25-151,2025-08-06,2025Q2,2025Q3,2025Q3,True,True,ceiling,we anticipate that Adjusted EBITDA Margin during Q3 2025 will be lower than in Q3 2024
ABNB-2Q25-adj_ebitda_usd_m-3Q25-150,2025-08-06,2025Q2,2025Q3,2025Q3,True,True,floor,"In Q3 2025, we expect Adjusted EBITDA to increase to over $2.0 billion"
ABNB-2Q25-adj_ebitda_margin_yoy_pts-4Q25-152,2025-08-06,2025Q2,2025Q4,2025Q3,False,True,ceiling,We expect a similar year-over-year decline in Q4 2025 Adjusted EBITDA Margin due to growth investments and a tougher year-over-year top-line compariso
ABNB-3Q25-adj_ebitda_margin_yoy_pts-4Q25-161,2025-11-06,2025Q3,2025Q4,2025Q4,True,True,ceiling,We expect Adjusted EBITDA in Q4 2025 to be flat- to-down slightly on a year-over-year basis and for Adjusted EBITDA Margin to decline over the same ti
ABNB-4Q25-adj_ebitda_margin_yoy_pts-1Q26-169,2026-02-12,2025Q4,2026Q1,2026Q1,True,True,point,We expect Adjusted EBITDA Margin to be approximately flat year-over-year
ABNB-1Q26-adj_ebitda_margin_yoy_pts-2Q26-178,2026-05-07,2026Q1,2026Q2,2026Q2,True,True,floor,We expect Adjusted EBITDA and Adjusted EBITDA Margin to be up year-over-year in Q2 2026
ABNB-2Q26-adj_ebitda_margin_yoy_pts-3Q26-188,2026-08-06,2026Q2,2026Q3,2026Q3,True,True,ceiling,"We expect Adjusted EBITDA to increase year-over-year and Adjusted EBITDA Margin to be down slightly compared to Q3 2025, due to timing of investments"
