guide_letter,target,cls,guided,guided_num,printed,coding_note,error
4Q22,1Q23,numeric,"16-21% growth, on an ex-FX basis between 18% and 23% -> FX -2",-2.0,-4.0,explicit; printed 20% / 24% ex-FX,-2.0
2Q23,3Q23,qualitative,"14-18% growth, a few points lower excluding the impact of FX",2.5,4.0,a few coded 2-3; judgement,1.5
3Q23,4Q23,ambiguous,"12-14% growth, relatively stable growth compared to Q3 2023 excluding the impact of FX",,3.0,"rev 1 coded +2; the natural reading (4Q23 ex-FX ~ 3Q23 ex-FX 14%, reported 12-14) gives -1 to 0; not uniquely specified; dropped (A05-02)",
1Q24,2Q24,ambiguous,"significant sequential headwind ... Easter, Leap Day, and the impact of FX rate changes",,0.0,combined headwind; FX share not specified; dropped (A05-02),
2Q24,3Q24,qualitative,inclusive of a modest foreign exchange headwind,-0.5,0.0,modest coded -0.5; judgement,0.5
3Q24,4Q24,qualitative,inclusive of a modest foreign exchange tailwind,0.5,0.0,modest coded +0.5; judgement,-0.5
4Q24,1Q25,numeric,"4-6% growth, or 7% to 9% excluding the impact of FX -> FX -3",-3.0,-2.0,explicit; printed 6% / 8% ex-FX,1.0
2Q25,3Q25,qualitative,minimal foreign exchange impact after factoring in our hedging program,0.0,0.0,minimal coded 0,0.0
3Q25,4Q25,qualitative,a small foreign exchange tailwind after factoring in our hedging program,0.5,1.0,small coded +0.5,0.5
4Q25,1Q26,numeric,an approximate three point foreign exchange tailwind after factoring in our hedging program,3.0,3.0,explicit,0.0
1Q26,2Q26,numeric,an approximate 3% FX tailwind after factoring in our hedging program,3.0,4.0,explicit,1.0
2Q26,3Q26,numeric,an approximate three percentage point FX tailwind after factoring in our hedging program,3.0,,live,
